datetime,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2005-12-01,"4,521,363,144","6,503,572,065","445,764,559","15,446,441,062","606,152,867","250,911,002","2,393,410,443","30,167,615,142"
2006-01-01,"4,877,107,368","7,142,653,504","427,218,289","15,096,894,075","664,770,122","254,482,482","2,959,244,938","31,422,370,778"
2006-02-01,"4,709,764,617","6,619,704,163","374,244,944","14,222,450,769","674,745,883","237,695,445","2,763,791,245","29,602,397,066"
2006-03-01,"4,216,679,247","6,005,595,131","401,828,382","15,147,306,937","579,307,023","222,177,479","2,303,710,248","28,876,604,447"
2006-04-01,"4,438,354,595","5,996,351,991","417,175,858","14,775,273,511","560,656,081","216,807,260","2,047,671,197","28,452,290,493"
2006-05-01,"4,110,157,329","5,606,767,311","352,186,064","14,894,326,252","515,631,102","200,555,679","1,309,033,838","26,988,657,575"
2006-06-01,"4,243,343,887","6,121,940,940","363,741,657","14,956,592,653","564,126,471","195,609,363","807,509,206","27,252,864,177"
2006-07-01,"4,316,354,544","6,736,664,496","384,543,115","14,873,848,316","546,298,196","190,231,103","586,784,690","27,634,724,460"
2006-08-01,"4,957,756,085","7,735,615,011","397,945,478","15,003,814,021","669,957,372","196,621,244","525,485,208","29,487,194,419"
2006-09-01,"4,690,795,518","7,226,053,456","419,294,937","15,302,348,256","678,738,869","214,271,015","518,058,002","29,049,560,053"
2006-10-01,"4,072,912,048","5,679,940,554","328,808,246","14,318,004,934","554,945,426","228,320,573","778,512,597","25,961,444,378"
2006-11-01,"4,407,899,877","5,952,300,809","399,007,066","15,197,326,254","861,488,575","249,154,452","1,449,530,113","28,516,707,146"
2006-12-01,"4,632,347,514","6,685,283,890","482,580,255","15,776,073,224","629,545,540","261,042,058","2,457,468,383","30,924,340,864"
2007-01-01,"4,808,455,304","7,112,760,236","447,239,570","15,988,879,439","670,356,932","261,988,118","2,825,038,940","32,114,718,539"
2007-02-01,"4,841,049,301","6,976,054,608","413,056,302","14,596,210,224","725,793,629","248,106,163","2,889,325,665","30,689,595,892"
2007-03-01,"4,294,379,310","6,147,178,873","424,447,117","15,697,681,446","602,505,128","230,651,239","2,332,341,439","29,729,184,552"
2007-04-01,"4,561,280,247","6,322,681,917","454,045,251","15,670,987,292","597,008,238","224,386,664","2,133,657,479","29,964,047,088"
2007-05-01,"4,275,467,885","5,936,424,183","382,858,279","15,902,369,736","576,165,283","208,918,584","1,349,760,957","28,631,964,907"
2007-06-01,"4,358,989,225","6,450,243,956","402,321,436","15,947,058,858","644,726,284","199,594,643","807,222,323","28,810,156,725"
2007-07-01,"4,405,375,101","7,157,024,003","441,114,407","16,069,528,926","603,937,531","196,043,281","573,455,360","29,446,478,609"
2007-08-01,"5,106,711,741","8,213,476,977","429,530,115","16,065,970,970","715,017,760","208,168,287","524,421,477","31,263,297,327"
2007-09-01,"4,965,882,649","7,622,118,249","462,206,590","15,718,104,722","720,106,654","220,469,573","578,283,760","30,287,172,197"
