datetime,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2003-06-01,48426460.66503875,3694468.969158276,1490855.2837363386,1914369.9357874377,2531616.1595582496,1433469.312599679,1528284.9203630663,1396905.384566286,10215212.279289579,2723060.8594447025,3141588.4295066847,2572299.4593490586,552749.4323386123,2019382.8902068778,1956031.0359200826,10182420.438757084,1073745.8744567323
2003-07-01,48434392.09365601,3695074.0601871302,1491099.4604137014,1914683.476944157,2532030.7951227757,1433704.090433363,1528535.2273767574,1397134.1738519494,10216885.356898198,2723506.8503870624,3142102.968129398,2572720.7581444667,552839.9632716109,2019713.6306951286,1956351.400454709,10184088.145621305,1073921.7357242992
2003-08-01,48442324.821306065,3695679.2503195787,1491343.6770830408,1914997.0694535722,2532445.498597538,1433938.9067196536,1528785.57538647,1397363.0006093972,10218558.708528407,2723952.914375135,3142617.591024765,2573142.125941435,552930.5090320328,2020044.4253530323,1956671.8174595842,10185756.125627477,1074097.6257949437
2003-09-01,48450258.84820166,3696284.5395718534,1491587.9337509074,1915310.713324094,2532860.2699936596,1434173.7614648484,1529035.9643989184,1397591.8648447667,10220232.334225083,2724399.051420884,3143132.2982065887,2573563.5627512643,553021.0696223067,2020375.2741894613,1956992.286943302,10187424.378820337,1074273.5446733828
2003-10-01,48458194.17455558,3696889.9279601867,1491832.2304238512,1915624.408564134,2533275.1093222634,1434408.6546752462,1529286.394420818,1397820.7665641955,10221906.234033111,2724845.261536274,3143647.0896886727,2573985.068585257,553111.6450448611,2020706.1772132886,1957312.8089144572,10189092.905244626,1074449.4923643349
2003-11-01,48466130.80058067,3697495.4155008174,1492076.567108425,1915938.1551821062,2533690.016594477,1434643.586357147,1529536.8654588854,1398049.7057738234,10223580.407997392,2725291.544733274,3144161.965484825,2574406.64345472,553202.2353021256,2021037.1344333896,1957633.3833816466,10190761.704945097,1074625.468872519
2003-12-01,48474068.7264898,3698101.002209984,1492320.9438111824,1916251.9531864256,2534104.9918214283,1434878.5565168522,1529787.3775198387,1398278.682479791,10225254.856162826,2725737.9010238526,3144676.9256088547,2574828.287370959,553292.8403965298,2021368.1458586412,1957954.0103534686,10192430.777966507,1074801.4742026548
2004-01-01,48583805.0,3666345.0,1488945.0,1953406.0,2524712.0,1443471.0,1521375.0,1401172.0,10462920.0,2695917.0,3143814.0,2578817.0,555362.0,1986192.0,1906742.0,10173162.0,1081453.0
2004-02-01,48591762.198936716,3666945.484802202,1489188.8638054559,1953725.9345984978,2525125.504780902,1443707.415939558,1521624.1752865454,1401401.4880845286,10464633.647910018,2696358.545240968,3144328.9031332154,2579239.366257447,555452.958827039,1986517.304386318,1907054.2918308887,10174828.190489803,1081630.1235633295
2004-03-01,48599720.701126955,3667546.0679535763,1489432.7675516456,1954045.9215968284,2525539.0772868376,1443943.8706000163,1521873.3913837548,1401631.0137552926,10466347.576486347,2696800.162799519,3144843.8905987856,2579661.8016912863,555543.9325515832,1986842.6620519483,1907366.6348098551,10176494.653873201,1081807.276136479
2004-04-01,48607680.506784156,3668146.749470231,1489676.71124511,1954365.9610035734,2525952.7175288973,1444180.3639877164,1522122.6482983115,1401860.5770184482,10468061.785774954,2697241.8526874958,3145358.9624105217,2580084.3063128465,555634.9211760722,1987168.0730056164,1907679.0289452758,10178161.390194887,1081984.4577241994
2004-05-01,48615641.61612183,3668747.529368278,1489920.694892393,1954686.0528273173,2526366.425518178,1444416.8961090015,1522371.9460369016,1402090.1778801528,10469776.275821818,2697683.6149167465,3145874.1185822403,2580506.880133461,555725.9247029468,1987493.5372560516,1907991.4742455303,10179828.39949957,1082161.6683312433
2004-06-01,48623604.02935346,3669348.407663828,1490164.718500037,1955006.1970766438,2526780.2012657723,1444653.466970215,1522621.2846062104,1402319.8163465634,10471491.046672918,2698125.449499118,3146389.3591277553,2580929.5231644623,555816.9431346474,1987819.0548119813,1908303.9707189975,10181495.68183195,1082338.907962363
2004-07-01,48631567.746692635,3669949.384372999,1490408.782074588,1955326.3937601405,2527194.04478278,1444890.0765777025,1522870.664012926,1402549.4924238399,10473206.09837425,2698567.3564464613,3146904.6840608874,2581352.2354171863,555907.9764736154,1988144.6256821372,1908616.5183740593,10183163.237236753,1082516.1766223125
2004-08-01,48639532.76835294,3670550.4595119082,1490652.885622591,1955646.6428863946,2527607.9560803003,1445126.7249378096,1523120.0842637366,1402779.206118142,10474921.430971809,2699009.3357706284,3147420.093395458,2581775.01690297,555999.0247222922,1988470.2498752507,1908929.1172190984,10184831.065758701,1082693.4743158463
2004-09-01,48647499.094547994,3671151.633096678,1490897.0291505938,1955966.9444639962,2528021.9351694346,1445363.4120568838,1523369.5453653322,1403008.957435631,10476637.044511603,2699451.387483474,3147935.5871452903,2582197.867633154,556090.0878831199,1988795.9274000558,1909241.7672624988,10186499.167442527,1082870.8010477198
2004-10-01,48655466.72549144,3671752.9051434305,1491141.2126651434,1956287.2985015344,2528435.9820612846,1445600.137941272,1523619.0473244025,1403238.7463824684,10478352.939039644,2699893.5115968524,3148451.1653242097,2582620.7876190776,556181.1659585407,1989121.6582652861,1909554.4685126455,10188167.542332964,1083048.1568226882
2004-11-01,48663435.66139701,3672354.2756682937,1491385.43617279,1956607.7050076027,2528850.096766957,1445836.9025973245,1523868.5901476403,1403468.5729648178,10480069.114601955,2700335.708122623,3148966.8279460445,2583043.7768720845,556272.2589509975,1989447.4424796791,1909867.220977926,10189836.190474767,1083225.541645509
2004-12-01,48671405.90247842,3672955.744687396,1491629.6996800832,1956928.163990794,2529264.279297558,1446073.706031391,1524118.1738417381,1403698.4371888428,10481785.571244564,2700777.977072646,3149482.5750246258,2583466.8354035197,556363.3668629334,1989773.2800519723,1910180.024666728,10191505.111912686,1083402.9555209393
2005-01-01,48782274.0,3638293.0,1488803.0,1962646.0,2511306.0,1454638.0,1513110.0,1401745.0,10697215.0,2688491.0,3160431.0,2600495.0,557569.0,1967205.0,1885335.0,10167344.0,1087648.0
2005-02-01,48790263.70477515,3638888.89036287,1489046.840548277,1962967.4479529618,2511717.3091066657,1454876.244903768,1513357.8216204583,1401974.5819321591,10698967.02143644,2688931.3289887765,3160948.6247145063,2600920.9167442513,557660.320296011,1967527.1946394339,1885643.7857292641,10169009.237600597,1087826.1381987089
2005-03-01,48798254.71812772,3639484.8783224225,1489290.7210334784,1963288.948553618,2512128.6855787504,1455114.5288279892,1513605.683829873,1402204.2014659247,10700719.329824122,2689371.7300959346,3161466.334207116,2601346.9032464037,557751.6555487298,1967849.4420488568,1885952.6220323662,10170674.74793872,1088004.3055734176
2005-04-01,48806247.040272035,3640080.9638946406,1489534.6414621451,1963610.501810591,2512540.1294272873,1455352.8517790546,1513853.5866348916,1402433.858607455,10702471.925210038,2689812.2033332842,3161984.1284917137,2601772.9595178817,557843.0057606056,1968171.7422369106,1886261.508917589,10172340.53105904,1088182.5021289045
2005-05-01,48814240.67142246,3640677.1470955135,1489778.6018408197,1963932.1077325055,2512951.6406633123,1455591.2137633564,1514101.5300421633,1402663.5533629095,10704224.807641203,2690252.7487126417,3162502.0075821877,2602199.085570114,557934.3709340887,1968494.095212241,1886570.446393218,10174006.587006237,1088360.727869949
2005-06-01,48822235.61179337,3641273.427941029,1490022.6021760446,1964253.7663279865,2513363.219297861,1455829.6147872868,1514349.5140583373,1402893.2857384486,10705977.977164619,2690693.3662458207,3163019.9714924265,2602625.2814145274,558025.7510716293,1968816.500983492,1886879.4344675373,10175672.91582499,1088538.9828013314
2005-07-01,48830231.86159921,3641869.8064471814,1490266.6424743645,1964575.4776056614,2513774.8653419735,1456068.0548572408,1514597.5386900655,1403123.0557402342,10707731.433827315,2691134.0559446393,3163538.0202363227,2603051.5470625544,558117.1461756787,1969138.9595593119,1887188.4731488356,10177339.517559996,1088717.2669278323
2005-08-01,48838229.42105443,3642466.2826299653,1490510.7227423245,1964897.2415741587,2514186.5788066895,1456306.5339796129,1514845.6039439996,1403352.8633744288,10709485.177676318,2691574.817820917,3164056.153827771,2603477.882525627,558208.5562486878,1969461.4709483488,1887497.562445401,10179006.39225595,1088895.5802542337
