week_range,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2002-03-31~2002-04-06,48252069.244889855,3731835.8666298958,1493397.6507448708,1908600.0009829474,2526961.4898807383,1420224.1042054624,1539425.752407963,1398092.95814314,9932026.354719983,2758008.41374398,3125851.0518398294,2579171.42561639,551083.6452536073,2055146.1853355041,1954742.1549335087,10211976.698440937,1065525.4920110998
2002-04-07~2002-04-13,48253649.61107541,3731958.092832957,1493446.562950829,1908662.512020308,2527044.2536782976,1420270.6198095663,1539476.172140056,1398138.7489013372,9932351.651414003,2758098.744859407,3125953.4306472195,2579255.8994093603,551101.6945097739,2055213.4960972704,1954806.177232479,10212311.16415224,1065560.3904203032
2002-04-14~2002-04-20,48255625.39235365,3732110.900609994,1493507.7132220087,1908740.6636148116,2527147.7253693705,1420328.773837775,1539539.2071275383,1398195.9967237655,9932758.338879095,2758211.677247062,3126081.4251163364,2579361.5089447824,551124.2597751827,2055297.648329922,1954886.2182133934,10212729.314766096,1065604.020576513
2002-04-21~2002-04-27,48257601.173631884,3732263.7083870303,1493568.8634931883,1908818.8152093152,2527251.1970604435,1420386.9278659835,1539602.2421150208,1398253.244546194,9933165.026344188,2758324.609634716,3126209.4195854533,2579467.118480204,551146.8250405914,2055381.8005625738,1954966.2591943075,10213147.465379953,1065647.6507327228
2002-04-28~2002-05-04,48259576.95491012,3732416.516164067,1493630.0137643681,1908896.966803819,2527354.6687515164,1420445.0818941921,1539665.277102503,1398310.4923686227,9933571.71380928,2758437.5420223707,3126337.41405457,2579572.728015626,551169.3903060002,2055465.9527952257,1955046.3001752216,10213565.615993809,1065691.2808889328
2002-05-05~2002-05-11,48261552.73618836,3732569.323941104,1493691.1640355478,1908975.1183983225,2527458.1404425893,1420503.2359224008,1539728.3120899852,1398367.740191051,9933978.401274372,2758550.4744100254,3126465.4085236867,2579678.337551048,551191.9555714091,2055550.1050278773,1955126.341156136,10213983.766607665,1065734.9110451424
2002-05-12~2002-05-18,48263528.84106588,3732722.156745449,1493752.324322099,1909053.2827927247,2527561.629080561,1420561.3994752476,1539791.3574015237,1398424.9973896965,9934385.155347936,2758663.4252940794,3126593.423956115,2579783.964383511,551214.5245326236,2055634.2710432298,1955206.395246398,10214401.985707462,1065778.5483472277
2002-05-19~2002-05-25,48265504.9459434,3732874.9895497942,1493813.4846086507,1909131.447187127,2527665.117718532,1420619.5630280944,1539854.402713062,1398482.2545883423,9934791.9094215,2758776.3761781333,3126721.4393885434,2579889.591215974,551237.0934938381,2055718.4370585827,1955286.44933666,10214820.20480726,1065822.1856493133
2002-05-26~2002-06-01,48267481.050820924,3733027.8223541398,1493874.644895202,1909209.6115815295,2527768.6063565034,1420677.7265809414,1539917.4480246003,1398539.5117869878,9935198.663495062,2758889.3270621873,3126849.454820972,2579995.2180484375,551259.6624550526,2055802.6030739355,1955366.503426922,10215238.423907055,1065865.8229513988
2002-06-02~2002-06-08,48269457.15569845,3733180.655158485,1493935.8051817534,1909287.7759759317,2527872.094994475,1420735.890133788,1539980.4933361388,1398596.7689856333,9935605.417568626,2759002.277946241,3126977.4702534,2580100.8448809003,551282.2314162671,2055886.769089288,1955446.557517184,10215656.643006852,1065909.460253484
2002-06-09~2002-06-15,48271038.29852229,3733302.9414270874,1493984.7414246043,1909350.3177330496,2527954.8994645923,1420782.4285970242,1540030.9378459672,1398642.5822467522,9935930.874122983,2759092.653453028,3127079.899372739,2580185.36018677,551300.2895423676,2055954.112929537,1955510.6112785898,10215991.273084415,1065944.3758127894
2002-06-16~2002-06-22,48272619.441346146,3733425.2276956895,1494033.6776674553,1909412.8594901673,2528037.703934709,1420828.9670602605,1540081.3823557957,1398688.395507871,9936256.33067734,2759183.0289598145,3127182.328492078,2580269.8754926403,551318.347668468,2056021.4567697858,1955574.6650399955,10216325.90316198,1065979.2913720945
2002-06-23~2002-06-29,48274200.58416999,3733547.513964292,1494082.613910306,1909475.4012472853,2528120.5084048263,1420875.5055234965,1540131.8268656242,1398734.20876899,9936581.787231699,2759273.4044666006,3127284.7576114167,2580354.39079851,551336.4057945686,2056088.8006100347,1955638.7188014013,10216660.533239543,1066014.2069313999
2002-06-30~2002-07-06,48275781.726993844,3733669.8002328943,1494131.550153157,1909537.943004403,2528203.312874943,1420922.0439867328,1540182.2713754526,1398780.0220301086,9936907.243786056,2759363.7799733873,3127387.186730756,2580438.9061043803,551354.463920669,2056156.1444502836,1955702.772562807,10216995.163317109,1066049.122490705
2002-07-07~2002-07-13,48277362.86981769,3733792.086501497,1494180.486396008,1909600.484761521,2528286.11734506,1420968.582449969,1540232.715885281,1398825.8352912276,9937232.700340413,2759454.155480174,3127489.6158500947,2580523.42141025,551372.5220467695,2056223.4882905325,1955766.8263242128,10217329.793394672,1066084.0380500103
2002-07-14~2002-07-20,48279339.622052796,3733944.9693727572,1494241.6667182245,1909678.6747620103,2528389.639885157,1421026.7650567726,1540295.781850005,1398883.111246915,9937639.587663652,2759567.143366116,3127617.673219448,2580629.082845295,551395.0984014116,2056307.6818780596,1955846.9066396127,10217748.149500005,1066127.6896473586
2002-07-21~2002-07-27,48281316.3742879,3734097.8522440176,1494302.847040441,1909756.8647624997,2528493.1624252535,1421084.9476635763,1540358.847814729,1398940.3872026023,9938046.474986892,2759680.131252058,3127745.7305888007,2580734.74428034,551417.6747560536,2056391.8754655868,1955926.9869550124,10218166.505605336,1066171.341244707
2002-07-28~2002-08-03,48283293.12652302,3734250.7351152785,1494364.0273626575,1909835.054762989,2528596.6849653497,1421143.13027038,1540421.9137794527,1398997.6631582899,9938453.362310132,2759793.119138,3127873.7879581535,2580840.4057153855,551440.2511106958,2056476.0690531137,1956007.067270412,10218584.861710668,1066214.9928420552
2002-08-04~2002-08-10,48285269.878758125,3734403.617986539,1494425.207684874,1909913.2447634784,2528700.2075054464,1421201.3128771838,1540484.9797441766,1399054.9391139774,9938860.249633372,2759906.1070239423,3128001.845327507,2580946.0671504303,551462.8274653378,2056560.2626406408,1956087.147585812,10219003.217816,1066258.6444394034
2002-08-11~2002-08-17,48287246.95475155,3734556.525897407,1494486.3980273842,1909991.4475701568,2528803.74700077,1421259.5050133066,1540548.0560380304,1399112.2244504897,9939267.20359782,2760019.113415374,3128129.9236704735,2581051.745891017,551485.4075176019,2056644.4700176422,1956167.2410170021,10219421.64244093,1066302.303186139
2002-08-18~2002-08-24,48289224.03074497,3734709.4338082755,1494547.5883698943,1910069.6503768354,2528907.2864960944,1421317.6971494295,1540611.1323318845,1399169.509787002,9939674.157562267,2760132.1198068056,3128258.0020134402,2581157.424631604,551507.987569866,2056728.6773946437,1956247.3344481925,10219840.067065861,1066345.9619328748
