week_range,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2004-10-24~2004-10-30,48660248.087034784,3672113.727458349,1491287.7467697314,1956479.5424051753,2528684.450884688,1445742.1967349034,1523768.7730183452,1403376.642331878,10479382.644377032,2700158.829512315,3148760.5628973106,2582874.5811708816,556235.8217540148,1989317.1287939218,1909742.1199918136,10189168.731218046,1083154.5877163806
2004-10-31~2004-11-06,48661841.87421589,3672234.0015633213,1491336.5914712606,1956543.623706389,2528767.2738258224,1445789.549666114,1523818.6815829927,1403422.607648348,10479725.879489494,2700247.268817469,3148863.6954216775,2582959.1790214833,556254.0403525061,1989382.2856368006,1909804.6704848697,10189502.460846407,1083190.064680945
2004-11-07~2004-11-13,48663435.66139701,3672354.2756682937,1491385.43617279,1956607.7050076027,2528850.096766957,1445836.9025973245,1523868.5901476403,1403468.5729648178,10480069.114601957,2700335.708122623,3148966.8279460445,2583043.7768720845,556272.2589509975,1989447.4424796791,1909867.220977926,10189836.190474767,1083225.541645509
2004-11-14~2004-11-20,48665428.221667364,3672504.642923069,1491446.5020496133,1956687.8197534005,2528953.642399607,1445896.103455841,1523930.9860711647,1403526.039020824,10480498.228762608,2700446.275360129,3149095.7647156897,2583149.5415049433,556295.0359289815,1989528.9018727525,1909945.4219001264,10190253.420834247,1083269.8951143664
2004-11-21~2004-11-27,48667420.78193772,3672655.010177845,1491507.5679264367,1956767.9344991983,2529057.1880322574,1445955.3043143577,1523993.381994689,1403583.5050768303,10480927.342923261,2700556.8425976345,3149224.701485335,2583255.306137802,556317.8129069654,1989610.3612658258,1910023.622822327,10190670.651193727,1083314.2485832241
2004-11-28~2004-12-04,48669413.342208065,3672805.3774326206,1491568.6338032598,1956848.0492449962,2529160.733664908,1446014.5051728743,1524055.7779182135,1403640.9711328365,10481356.457083913,2700667.40983514,3149353.6382549806,2583361.0707706613,556340.5898849494,1989691.8206588991,1910101.8237445275,10191087.881553207,1083358.6020520818
2004-12-05~2004-12-11,48671405.90247842,3672955.744687396,1491629.6996800832,1956928.163990794,2529264.279297558,1446073.706031391,1524118.173841738,1403698.4371888428,10481785.571244564,2700777.977072646,3149482.5750246258,2583466.83540352,556363.3668629334,1989773.2800519725,1910180.024666728,10191505.111912686,1083402.9555209393
2004-12-12~2004-12-18,48699122.92685881,3664290.058515547,1490923.0247600623,1958357.6229930955,2524774.7094731685,1448214.779523543,1521366.1303813034,1403210.077891632,10535642.928433422,2697706.2328044847,3152219.6812684694,2587723.87655264,556664.7751472001,1984131.2100389793,1903968.7685000459,10185464.833934516,1084464.2166407045
2004-12-19~2004-12-25,48726839.95123921,3655624.372343698,1490216.3498400417,1959787.0819953969,2520285.1396487793,1450355.8530156955,1518614.086920869,1402721.7185944214,10589500.285622282,2694634.488536323,3154956.7875123126,2591980.9177017603,556966.1834314667,1978489.1400259864,1897757.512333364,10179424.555956343,1085525.4777604695
2004-12-26~2005-01-01,48754556.97561961,3646958.6861718493,1489509.6749200209,1961216.5409976984,2515795.5698243896,1452496.9265078478,1515862.0434604345,1402233.3592972108,10643357.642811142,2691562.7442681612,3157693.8937561563,2596237.95885088,557267.5917157333,1972847.0700129932,1891546.256166682,10173384.27797817,1086586.7388802348
2005-01-02~2005-01-08,48782274.0,3638293.0,1488803.0,1962646.0,2511306.0,1454638.0,1513110.0,1401745.0,10697215.0,2688491.0,3160431.0,2600495.0,557569.0,1967205.0,1885335.0,10167344.0,1087648.0
2005-01-09~2005-01-15,48783871.94095503,3638412.178072574,1488851.7681096555,1962710.2895905923,2511388.2618213333,1454685.6489807535,1513159.5643240917,1401790.9163864318,10697565.404287288,2688579.0657977555,3160534.5249429015,2600580.1833488503,557587.2640592022,1967269.4389278868,1885396.7571458528,10167677.04752012,1087683.6276397419
2005-01-16~2005-01-22,48785469.881910056,3638531.356145148,1488900.5362193107,1962774.5791811845,2511470.523642666,1454733.2979615072,1513209.1286481833,1401836.8327728636,10697915.808574576,2688667.1315955105,3160638.0498858024,2600665.3666977007,557605.5281184044,1967333.8778557735,1885458.5142917056,10168010.09504024,1087719.2552794835
2005-01-23~2005-01-29,48787067.82286509,3638650.534217722,1488949.3043289662,1962838.868771777,2511552.7854639995,1454780.9469422607,1513258.6929722752,1401882.7491592956,10698266.212861864,2688755.197393266,3160741.574828704,2600750.550046551,557623.7921776066,1967398.31678366,1885520.2714375583,10168343.142560357,1087754.8829192254
2005-01-30~2005-02-05,48788665.76382012,3638769.712290296,1488998.0724386214,1962903.1583623693,2511635.0472853323,1454828.5959230145,1513308.2572963668,1401928.6655457274,10698616.617149152,2688843.263191021,3160845.099771605,2600835.7333954014,557642.0562368089,1967462.7557115469,1885582.0285834111,10168676.190080477,1087790.510558967
2005-02-06~2005-02-12,48790263.70477515,3638888.89036287,1489046.840548277,1962967.4479529615,2511717.3091066657,1454876.244903768,1513357.8216204585,1401974.5819321591,10698967.02143644,2688931.3289887765,3160948.6247145063,2600920.9167442517,557660.320296011,1967527.1946394336,1885643.785729264,10169009.237600597,1087826.1381987089
2005-02-13~2005-02-19,48792261.45811329,3639037.887352758,1489107.8106695772,1963047.8231031257,2511820.153224687,1454935.8158848232,1513419.787172812,1402031.9868156007,10699405.09853336,2689041.429265566,3161078.052087659,2601027.4133697897,557683.1541091907,1967607.7564917894,1885720.9948050396,10169425.615185127,1087870.680042386
2005-02-20~2005-02-26,48794259.21145143,3639186.884342646,1489168.7807908775,1963128.1982532898,2511922.997342708,1454995.3868658785,1513481.7527251658,1402089.391699042,10699843.17563028,2689151.529542356,3161207.4794608112,2601133.9099953277,557705.9879223704,1967688.318344145,1885798.2038808153,10169841.992769659,1087915.2218860632
2005-02-27~2005-03-05,48796256.96478958,3639335.881332535,1489229.750912178,1963208.573403454,2512025.841460729,1455054.957846934,1513543.7182775196,1402146.7965824832,10700281.252727201,2689261.629819145,3161336.9068339635,2601240.406620866,557728.8217355502,1967768.880196501,1885875.4129565908,10170258.37035419,1087959.7637297404
2005-03-06~2005-03-12,48798254.71812772,3639484.878322423,1489290.7210334784,1963288.948553618,2512128.6855787504,1455114.5288279892,1513605.683829873,1402204.2014659247,10700719.329824122,2689371.7300959346,3161466.334207116,2601346.903246404,557751.6555487298,1967849.4420488568,1885952.6220323665,10170674.74793872,1088004.3055734176
2005-03-13~2005-03-19,48800252.7986638,3639633.8997154776,1489351.701140645,1963369.3368678612,2512231.5465408848,1455174.1095657556,1513667.6595311277,1402261.6157513072,10701157.4786706,2689481.848405272,3161595.7827782654,2601453.4173142733,557774.4931016988,1967930.01709587,1886029.8437536722,10171091.1937188,1088048.8547122893
2005-03-20~2005-03-26,48802250.87919988,3639782.9211085318,1489412.6812478118,1963449.7251821044,2512334.407503019,1455233.690303522,1513729.6352323825,1402319.0300366897,10701595.62751708,2689591.9667146094,3161725.231349415,2601559.931382143,557797.3306546677,1968010.5921428837,1886107.0654749777,10171507.63949888,1088093.403851161
2005-03-27~2005-04-02,48804248.95973596,3639931.9425015864,1489473.6613549786,1963530.1134963478,2512437.2684651534,1455293.2710412883,1513791.610933637,1402376.4443220724,10702033.776363559,2689702.0850239466,3161854.6799205644,2601666.4454500126,557820.1682076366,1968091.167189897,1886184.2871962832,10171924.08527896,1088137.9529900327
2005-04-03~2005-04-09,48806247.04027204,3640080.963894641,1489534.6414621451,1963610.501810591,2512540.1294272877,1455352.8517790546,1513853.5866348916,1402433.858607455,10702471.925210038,2689812.203333284,3161984.1284917137,2601772.9595178817,557843.0057606056,1968171.7422369104,1886261.508917589,10172340.53105904,1088182.5021289045
2005-04-10~2005-04-16,48808245.44805965,3640230.0096948594,1489595.6315568138,1963690.9032910694,2512643.007236294,1455412.4422751302,1513915.5724867093,1402491.2822963186,10702910.14581783,2689922.339678123,3162113.5982643324,2601879.49103094,557865.8470539764,1968252.330480743,1886338.7432864963,10172757.045045838,1088227.0585641656
2005-04-17~2005-04-23,48810243.855847254,3640379.0554950773,1489656.6216514823,1963771.3047715481,2512745.8850453002,1455472.0327712055,1513977.5583385273,1402548.7059851824,10703348.366425622,2690032.4760229625,3162243.068036951,2601986.022543998,557888.6883473471,1968332.9187245755,1886415.9776554033,10173173.559032638,1088271.6149994268
2005-04-24~2005-04-30,48812242.26363485,3640528.101295295,1489717.611746151,1963851.7062520268,2512848.762854306,1455531.6232672809,1514039.5441903453,1402606.129674046,10703786.587033413,2690142.6123678023,3162372.5378095694,2602092.554057056,557911.5296407179,1968413.5069684084,1886493.2120243106,10173590.073019437,1088316.171434688
2005-05-01~2005-05-07,48814240.67142246,3640677.1470955135,1489778.6018408197,1963932.1077325053,2512951.6406633123,1455591.2137633564,1514101.530042163,1402663.5533629097,10704224.807641204,2690252.7487126417,3162502.007582188,2602199.085570114,557934.3709340887,1968494.095212241,1886570.446393218,10174006.587006235,1088360.727869949
2005-05-08~2005-05-14,48815839.65949664,3640796.4032646166,1489827.4019078647,1963996.4394516016,2513033.956390222,1455638.8939681426,1514151.126845398,1402709.4998380174,10704575.441545887,2690340.8722192775,3162605.6003642357,2602284.324738997,557952.6469615968,1968558.5763664912,1886632.2440080817,10174339.852769986,1088396.3788562256
2005-05-15~2005-05-21,48817438.647570826,3640915.6594337197,1489876.2019749098,1964060.7711706979,2513116.272117132,1455686.5741729287,1514200.7236486329,1402755.4463131253,10704926.075450571,2690428.9957259134,3162709.1931462833,2602369.5639078794,557970.922989105,1968623.0575207414,1886694.0416229456,10174673.118533738,1088432.029842502
2005-05-22~2005-05-28,48819037.635645,3641034.915602823,1489925.0020419545,1964125.102889794,2513198.5878440416,1455734.2543777146,1514250.3204518675,1402801.392788233,10705276.709355254,2690517.119232549,3162812.7859283313,2602454.8030767622,557989.1990166131,1968687.5386749916,1886755.8392378094,10175006.384297488,1088467.6808287785
2005-05-29~2005-06-04,48820636.623719186,3641154.171771926,1489973.8021089996,1964189.4346088902,2513280.9035709514,1455781.9345825007,1514299.9172551024,1402847.339263341,10705627.343259938,2690605.2427391848,3162916.378710379,2602540.0422456446,558007.4750441213,1968752.0198292418,1886817.6368526733,10175339.65006124,1088503.3318150549
2005-06-05~2005-06-11,48822235.61179337,3641273.427941029,1490022.6021760446,1964253.7663279865,2513363.219297861,1455829.6147872868,1514349.5140583373,1402893.2857384486,10705977.97716462,2690693.3662458207,3163019.9714924265,2602625.2814145274,558025.7510716293,1968816.500983492,1886879.434467537,10175672.91582499,1088538.9828013314
2005-06-12~2005-06-18,48824234.67424483,3641422.522567567,1490083.6122506247,1964334.1941474052,2513466.130808889,1455889.2248047753,1514411.5202162694,1402950.728238895,10706416.341330294,2690803.5386705254,3163149.4836784005,2602731.847826534,558048.5998476417,1968897.1156274471,1886956.694137862,10176089.566258742,1088583.5538329566
2005-06-19~2005-06-25,48826233.73669629,3641571.617194105,1490144.6223252045,1964414.621966824,2513569.042319917,1455948.8348222638,1514473.5263742013,1403008.1707393415,10706854.705495968,2690913.71109523,3163278.9958643746,2602838.414238541,558071.448623654,1968977.730271402,1887033.9538081866,10176506.216692492,1088628.124864582
2005-06-26~2005-07-02,48828232.79914775,3641720.711820643,1490205.6323997844,1964495.0497862424,2513671.9538309453,1456008.4448397523,1514535.5325321334,1403065.6132397878,10707293.069661643,2691023.883519935,3163408.5080503486,2602944.980650548,558094.2973996664,1969058.344915357,1887111.2134785112,10176922.867126245,1088672.6958962074
2005-07-03~2005-07-09,48830231.86159921,3641869.806447181,1490266.6424743645,1964575.4776056611,2513774.865341973,1456068.0548572408,1514597.5386900655,1403123.0557402342,10707731.433827316,2691134.0559446397,3163538.0202363227,2603051.5470625544,558117.1461756787,1969138.959559312,1887188.473148836,10177339.517559996,1088717.2669278325
2005-07-10~2005-07-16,48831831.37349025,3641989.1016837377,1490315.4585279564,1964639.8303993607,2513857.2080349163,1456115.750681715,1514647.1517408523,1403169.017267073,10708082.182597117,2691222.208319895,3163641.6469546123,2603136.814155169,558135.4281902806,1969203.4618371194,1887250.291008149,10177672.892499186,1088752.9295931128
2005-07-17~2005-07-23,48833430.8853813,3642108.3969202945,1490364.2745815485,1964704.1831930603,2513939.5507278596,1456163.4465061896,1514696.764791639,1403214.978793912,10708432.931366917,2691310.3606951507,3163745.273672902,2603222.0812477833,558153.7102048823,1969267.9641149268,1887312.108867462,10178006.267438378,1088788.592258393
2005-07-24~2005-07-30,48835030.39727234,3642227.6921568513,1490413.0906351404,1964768.5359867597,2514021.8934208024,1456211.142330664,1514746.377842426,1403260.940320751,10708783.680136718,2691398.513070406,3163848.9003911917,2603307.348340398,558171.9922194842,1969332.466392734,1887373.926726775,10178339.642377568,1088824.254923673
2005-07-31~2005-08-06,48836629.909163386,3642346.987393408,1490461.9066887326,1964832.8887804593,2514104.2361137457,1456258.8381551385,1514795.9908932128,1403306.90184759,10709134.428906517,2691486.6654456616,3163952.5271094814,2603392.6154330126,558190.2742340859,1969396.9686705414,1887435.744586088,10178673.01731676,1088859.9175889534
2005-08-07~2005-08-13,48838229.42105443,3642466.282629965,1490510.7227423245,1964897.241574159,2514186.578806689,1456306.5339796129,1514845.6039439996,1403352.8633744288,10709485.177676318,2691574.817820917,3164056.153827771,2603477.882525627,558208.5562486878,1969461.4709483488,1887497.562445401,10179006.39225595,1088895.5802542337
2005-08-14~2005-08-20,48840229.13838421,3642615.4260988184,1490571.752803361,1964977.6957411463,2514289.52403078,1456366.1635249094,1514907.630414698,1403410.3246926207,10709923.685446905,2691685.026337307,3164185.7084409953,2603584.4838480153,558231.412509793,1969542.1120010747,1887574.8474254317,10179423.179181354,1088940.1658870047
2005-08-21~2005-08-27,48842228.85571399,3642764.569567672,1490632.7828643979,1965058.1499081338,2514392.469254871,1456425.793070206,1514969.6568853965,1403467.7860108125,10710362.19321749,2691795.2348536965,3164315.26305422,2603691.0851704036,558254.2687708981,1969622.7530538007,1887652.1324054624,10179839.966106758,1088984.7515197757
2005-08-28~2005-09-03,48844228.57304378,3642913.713036525,1490693.8129254347,1965138.604075121,2514495.4144789614,1456485.4226155027,1515031.6833560949,1403525.247329004,10710800.700988077,2691905.443370086,3164444.8176674442,2603797.686492792,558277.1250320033,1969703.3941065269,1887729.4173854932,10180256.753032159,1089029.3371525467
2005-09-04~2005-09-10,48846228.29037356,3643062.8565053786,1490754.8429864713,1965219.0582421084,2514598.3597030523,1456545.0521607993,1515093.7098267933,1403582.708647196,10711239.208758663,2692015.651886476,3164574.3722806685,2603904.28781518,558299.9812931084,1969784.0351592528,1887806.702365524,10180673.539957562,1089073.9227853178
2005-09-11~2005-09-17,48848228.33522294,3643212.024401389,1490815.8830431914,1965299.5255861166,2514701.3217878155,1456604.6914723986,1515155.74645637,1403640.179376572,10711677.788349345,2692125.8784531415,3164703.9481127295,2604010.906597047,558322.8412976795,1969864.689419608,1887884.0000035164,10181090.395145558,1089118.5157204552
2005-09-18~2005-09-24,48850228.38007232,3643361.1922974,1490876.9230999113,1965379.9929301247,2514804.2838725783,1456664.3307839981,1515217.7830859467,1403697.6501059476,10712116.367940027,2692236.105019807,3164833.5239447905,2604117.5253789145,558345.7013022505,1969945.3436799636,1887961.297641509,10181507.250333551,1089163.1086555927
2005-09-25~2005-10-01,48852228.4249217,3643510.3601934104,1490937.9631566312,1965460.460274133,2514907.245957341,1456723.9700955977,1515279.8197155234,1403755.1208353236,10712554.94753071,2692346.3315864727,3164963.0997768515,2604224.144160782,558368.5613068215,1970025.9979403191,1888038.5952795015,10181924.105521547,1089207.70159073
2005-10-02~2005-10-08,48854228.46977108,3643659.528089421,1490999.0032133514,1965540.927618141,2515010.2080421043,1456783.609407197,1515341.8563451,1403812.5915646995,10712993.527121391,2692456.558153138,3165092.6756089125,2604330.762942649,558391.4213113926,1970106.6522006744,1888115.892917494,10182340.960709542,1089252.2945258676
2005-10-09~2005-10-15,48855828.76770918,3643778.881951156,1491047.843256584,1965605.312036691,2515092.591200662,1456831.3286707986,1515391.4937771952,1403858.575678381,10713344.448259424,2692544.7538490565,3165196.353252411,2604416.0719380137,558409.7123103125,1970171.1861767932,1888177.7411559164,10182674.499478957,1089287.9747168275
2005-10-16~2005-10-22,48857429.06564729,3643898.235812891,1491096.6832998164,1965669.6964552407,2515174.9743592194,1456879.0479344002,1515441.1312092906,1403904.559792062,10713695.369397458,2692632.949544975,3165300.0308959093,2604501.3809333784,558428.0033092326,1970235.720152912,1888239.5893943387,10183008.038248371,1089323.6549077875
2005-10-23~2005-10-29,48859029.36358539,3644017.589674626,1491145.5233430492,1965734.0808737907,2515257.3575177775,1456926.7671980017,1515490.7686413857,1403950.5439057434,10714046.290535493,2692721.145240893,3165403.708539408,2604586.6899287435,558446.2943081526,1970300.2541290305,1888301.437632761,10183341.577017786,1089359.3350987476
2005-10-30~2005-11-05,48860629.6615235,3644136.9435363607,1491194.3633862818,1965798.4652923404,2515339.740676335,1456974.4864616033,1515540.406073481,1403996.5280194245,10714397.211673526,2692809.3409368116,3165507.3861829066,2604671.998924108,558464.5853070727,1970364.7881051493,1888363.2858711833,10183675.1157872,1089395.0152897076
2005-11-06~2005-11-12,48862229.9594616,3644256.297398096,1491243.2034295143,1965862.8497108903,2515422.1238348926,1457022.205725205,1515590.0435055762,1404042.512133106,10714748.13281156,2692897.53663273,3165611.063826405,2604757.307919473,558482.8763059927,1970429.322081268,1888425.1341096056,10184008.654556615,1089430.6954806675
2005-11-13~2005-11-19,48864230.659511134,3644405.5141604245,1491304.263482513,1965943.3434154151,2515525.119649286,1457081.864574209,1515652.1004579016,1404100.0016894748,10715186.856077727,2693007.7993088174,3165740.682106566,2604863.9616288776,558505.743799335,1970510.0027633726,1888502.4570697425,10184425.646303337,1089475.3030241262
2005-11-20~2005-11-26,48866231.35956066,3644554.730922753,1491365.3235355117,1966023.83711994,2515628.115463679,1457141.523423213,1515714.157410227,1404157.4912458437,10715625.579343894,2693118.0619849046,3165870.300386728,2604970.6153382827,558528.6112926772,1970590.6834454774,1888579.7800298792,10184842.63805006,1089519.910567585
2005-11-27~2005-12-03,48868232.05961019,3644703.9476850815,1491426.3835885106,1966104.3308244648,2515731.1112780725,1457201.1822722172,1515776.2143625524,1404214.9808022126,10716064.302610062,2693228.324660992,3165999.918666889,2605077.2690476873,558551.4787860195,1970671.364127582,1888657.1029900159,10185259.629796784,1089564.5181110436
2005-12-04~2005-12-10,48870232.75965972,3644853.16444741,1491487.4436415092,1966184.8245289896,2515834.1070924657,1457260.8411212214,1515838.2713148778,1404272.4703585815,10716503.02587623,2693338.587337079,3166129.53694705,2605183.922757092,558574.3462793618,1970752.0448096865,1888734.4259501528,10185676.621543506,1089609.1256545023
2005-12-11~2005-12-17,48900619.319744796,3636637.8733355575,1492255.332731132,1968246.8683967423,2510904.330319349,1459485.1308409162,1513233.7034861583,1405153.8527689362,10763885.519407172,2692148.1905028094,3167811.402710288,2609985.6920678187,558554.7597095213,1963795.283607265,1883642.0694626146,10184548.96615763,1090330.3442408768
2005-12-18~2005-12-24,48931005.87982986,3628422.582223705,1493023.2218207545,1970308.9122644947,2505974.553546233,1461709.4205606107,1510629.135657439,1406035.2351792906,10811268.012938116,2690957.7936685393,3169493.268473525,2614787.461378546,558535.1731396809,1956838.5224048432,1878549.7129750764,10183421.310771752,1091051.5628272512
2005-12-25~2005-12-31,48961392.43991493,3620207.2911118525,1493791.1109103772,1972370.9561322473,2501044.7767731166,1463933.7102803052,1508024.5678287195,1406916.6175896453,10858650.506469058,2689767.3968342696,3171175.1342367623,2619589.230689273,558515.5865698404,1949881.7612024215,1873457.3564875382,10182293.655385876,1091772.7814136255
2006-01-01~2006-01-07,48991779.0,3611992.0,1494559.0,1974433.0,2496115.0,1466158.0,1505420.0,1407798.0,10906033.0,2688577.0,3172857.0,2624391.0,558496.0,1942925.0,1868365.0,10181166.0,1092494.0
2006-01-08~2006-01-14,48993383.80362444,3612110.316541497,1494607.9566565882,1974497.67569252,2496196.7642159723,1466206.0263366718,1505469.3124259135,1407844.114662072,10906390.244452925,2688665.068614822,3172960.9319762904,2624476.966100328,558514.2944245613,1942988.6435978785,1868426.2012665183,10181499.500281708,1092529.7863781776
2006-01-15~2006-01-21,48994988.607248895,3612228.6330829943,1494656.9133131763,1974562.3513850402,2496278.528431945,1466254.0526733438,1505518.624851827,1407890.2293241438,10906747.48890585,2688753.137229644,3173064.8639525804,2624562.9322006563,558532.5888491225,1943052.2871957568,1868487.402533037,10181833.000563417,1092565.5727563552
2006-01-22~2006-01-28,48996593.41087334,3612346.949624491,1494705.8699697645,1974627.0270775605,2496360.2926479173,1466302.0790100156,1505567.9372777408,1407936.3439862155,10907104.733358778,2688841.205844466,3173168.795928871,2624648.898300984,558550.8832736838,1943115.9307936353,1868548.6037995552,10182166.500845123,1092601.3591345325
2006-01-29~2006-02-04,48998198.21449779,3612465.266165988,1494754.8266263525,1974691.7027700807,2496442.05686389,1466350.1053466876,1505617.2497036543,1407982.4586482875,10907461.977811703,2688929.2744592885,3173272.7279051607,2624734.864401312,558569.177698245,1943179.5743915136,1868609.8050660738,10182500.001126831,1092637.14551271
2006-02-05~2006-02-11,48999803.01812223,3612583.582707485,1494803.7832829407,1974756.3784626008,2496523.8210798623,1466398.1316833594,1505666.5621295678,1408028.5733103594,10907819.222264629,2689017.3430741103,3173376.659881451,2624820.83050164,558587.4721228064,1943243.217989392,1868671.006332592,10182833.50140854,1092672.9318908877
2006-02-12~2006-02-18,49001809.35120213,3612731.5026071467,1494864.9891265081,1974837.2363192209,2496626.043089309,1466458.1744365683,1505728.2127576282,1408086.2260789436,10908265.850968976,2689127.44687281,3173506.596129671,2624928.3057267773,558610.3438989015,1943322.7855164106,1868747.520445395,10183250.445037749,1092717.6721901079
2006-02-19~2006-02-25,49003815.68428202,3612879.4225068083,1494926.1949700755,1974918.094175841,2496728.2650987552,1466518.2171897772,1505789.8633856885,1408143.8788475278,10908712.47967332,2689237.5506715095,3173636.5323778912,2625035.7809519144,558633.2156749966,1943402.3530434289,1868824.034558198,10183667.38866696,1092762.412489328
2006-02-26~2006-03-04,49005822.01736192,3613027.3424064703,1494987.4008136431,1974998.952032461,2496830.4871082017,1466578.2599429858,1505851.5140137486,1408201.531616112,10909159.108377665,2689347.6544702095,3173766.4686261117,2625143.256177051,558656.0874510917,1943481.920570447,1868900.5486710006,10184084.33229617,1092807.1527885483
2006-03-05~2006-03-11,49007828.35044181,3613175.262306132,1495048.6066572105,1975079.8098890812,2496932.709117648,1466638.3026961947,1505913.164641809,1408259.1843846962,10909605.737082012,2689457.758268909,3173896.404874332,2625250.731402188,558678.9592271869,1943561.4880974656,1868977.0627838036,10184501.27592538,1092851.8930877685
2006-03-12~2006-03-18,49009835.01212486,3613323.206432551,1495109.8225252512,1975160.6809888394,2497034.9478693167,1466698.3552833828,1505974.8253671909,1408316.846595821,10910052.438936524,2689567.8801007336,3174026.362403894,2625358.2242299346,558701.834749289,1943641.068656288,1869053.5894283135,10184918.287842847,1092896.6407146868
2006-03-19~2006-03-25,49011841.673807904,3613471.15055897,1495171.038393292,1975241.5520885978,2497137.186620985,1466758.4078705707,1506036.486092573,1408374.5088069455,10910499.140791036,2689678.0019325577,3174156.319933456,2625465.7170576807,558724.7102713911,1943720.6492151108,1869130.1160728235,10185335.299760316,1092941.3883416052
2006-03-26~2006-04-01,49013848.33549096,3613619.0946853887,1495232.254261333,1975322.4231883562,2497239.425372653,1466818.4604577585,1506098.146817955,1408432.17101807,10910945.842645548,2689788.123764382,3174286.277463018,2625573.209885427,558747.5857934932,1943800.2297739335,1869206.6427173335,10185752.311677784,1092986.1359685236
2006-04-02~2006-04-08,49015854.997174,3613767.038811808,1495293.4701293737,1975403.2942881144,2497341.6641243217,1466878.5130449466,1506159.8075433369,1408489.8332291949,10911392.54450006,2689898.2455962067,3174416.23499258,2625680.7027131733,558770.4613155953,1943879.810332756,1869283.1693618435,10186169.323595252,1093030.883595442
2006-04-09~2006-04-15,49017460.58944602,3613885.413497524,1495342.450844699,1975468.0017641669,2497423.468521628,1466926.562983169,1506209.144202823,1408535.9705533644,10911749.96451339,2689986.3574905293,3174520.218044092,2625766.7110597645,558788.7647305734,1943943.4852069651,1869344.4007044593,10186502.98776878,1093066.6875600955
2006-04-16~2006-04-22,49019066.18171804,3614003.7881832398,1495391.4315600242,1975532.7092402196,2497505.2729189345,1466974.6129213914,1506258.480862309,1408582.1078775339,10912107.384526718,2690074.469384852,3174624.201095604,2625852.7194063556,558807.0681455515,1944007.1600811745,1869405.632047075,10186836.651942309,1093102.491524749
2006-04-23~2006-04-29,49020671.77399006,3614122.162868956,1495440.4122753495,1975597.416716272,2497587.0773162413,1467022.662859614,1506307.8175217952,1408628.2452017032,10912464.804540046,2690162.581279175,3174728.1841471153,2625938.727752947,558825.3715605297,1944070.8349553836,1869466.863389691,10187170.31611584,1093138.2954894023
2006-04-30~2006-05-06,49022277.36626207,3614240.537554672,1495489.3929906746,1975662.1241923247,2497668.8817135477,1467070.7127978364,1506357.154181281,1408674.3825258727,10912822.224553375,2690250.6931734974,3174832.1671986273,2626024.736099538,558843.6749755078,1944134.509829593,1869528.094732307,10187503.980289368,1093174.0994540558
2006-05-07~2006-05-13,49023882.95853409,3614358.912240388,1495538.373706,1975726.8316683772,2497750.686110854,1467118.7627360588,1506406.4908407673,1408720.5198500422,10913179.644566704,2690338.80506782,3174936.150250139,2626110.744446129,558861.9783904859,1944198.184703802,1869589.3260749227,10187837.644462897,1093209.9034187093
2006-05-14~2006-05-20,49025890.27758491,3614506.9048322267,1495599.609627914,1975807.7292609194,2497852.958355194,1467178.8349960377,1506468.1717657545,1408778.2009508878,10913626.492757494,2690448.9629747556,3175066.1503528426,2626218.2724877438,558884.8614064426,1944277.7913326367,1869665.8777890047,10188254.792990435,1093254.6657046247
2006-05-21~2006-05-27,49027897.59663573,3614654.8974240655,1495660.845549828,1975888.6268534618,2497955.2305995338,1467238.9072560163,1506529.8526907414,1408835.8820517333,10914073.340948284,2690559.120881691,3175196.150455546,2626325.800529359,558907.7444223993,1944357.3979614717,1869742.429503087,10188671.941517971,1093299.4279905402
2006-05-28~2006-06-03,49029904.91568655,3614802.8900159043,1495722.081471742,1975969.524446004,2498057.5028438736,1467298.979515995,1506591.5336157284,1408893.563152579,10914520.189139074,2690669.2787886267,3175326.1505582496,2626433.328570974,558930.627438356,1944437.0045903064,1869818.9812171692,10189089.09004551,1093344.1902764556
2006-06-04~2006-06-10,49031912.23473737,3614950.882607743,1495783.317393656,1976050.4220385463,2498159.7750882134,1467359.0517759738,1506653.2145407156,1408951.2442534245,10914967.037329864,2690779.436695562,3175456.150660953,2626540.8566125887,558953.5104543128,1944516.6112191412,1869895.5329312512,10189506.238573048,1093388.952562371
2006-06-11~2006-06-17,49033919.882552825,3615098.899438245,1495844.5633449699,1976131.332880735,2498262.0640830034,1467419.1338747647,1506714.9055679867,1409008.934801451,10915413.95870677,2690889.612644485,3175586.172055457,2626648.4022654635,558976.3972181174,1944596.2308861846,1869972.0971831991,10189923.455422403,1093433.7221795858
2006-06-18~2006-06-24,49035927.53036828,3615246.9162687473,1495905.8092962839,1976212.2437229238,2498364.3530777935,1467479.2159735553,1506776.5965952575,1409066.6253494774,10915860.880083676,2690999.7885934077,3175716.1934499606,2626755.9479183387,558999.2839819221,1944675.850553228,1870048.6614351468,10190340.672271758,1093478.4917968004
