week_range,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2002-10-20~2002-10-26,3621523279.0,4597874822.5,259306212.0,12902954699.0,617386411.5,188076095.5,1134770301.5,23321891821.0
2002-10-27~2002-11-02,3677227602.0,4643955203.75,270463294.5,12841504617.0,700902051.75,191592335.25,1331042537.75,23656687642.0
2002-11-03~2002-11-09,3732931925.0,4690035585.0,281620377.0,12780054535.0,784417692.0,195108575.0,1527314774.0,23991483463.0
2002-11-10~2002-11-16,3762808818.5,4758050523.75,285690910.25,12729117383.0,718280224.75,197907161.5,1655063673.0,24106918694.75
2002-11-17~2002-11-23,3792685712.0,4826065462.5,289761443.5,12678180231.0,652142757.5,200705748.0,1782812572.0,24222353926.5
2002-11-24~2002-11-30,3822562605.5,4894080401.25,293831976.75,12627243079.0,586005290.25,203504334.5,1910561471.0,24337789158.25
2002-12-01~2002-12-07,3852439499.0,4962095340.0,297902510.0,12576305927.0,519867823.0,206302921.0,2038310370.0,24453224390.0
2002-12-08~2002-12-14,3922475642.2,5049331406.2,293572863.8,12665559660.0,525122328.4,207762435.8,2115334674.4,24779159010.8
2002-12-15~2002-12-21,3992511785.4,5136567472.4,289243217.6,12754813393.0,530376833.8,209221950.6,2192358978.8,25105093631.6
2002-12-22~2002-12-28,4062547928.6,5223803538.6,284913571.4,12844067126.0,535631339.2,210681465.4,2269383283.2,25431028252.4
2002-12-29~2003-01-04,4132584071.8,5311039604.8,280583925.2,12933320859.0,540885844.6,212140980.2,2346407587.6,25756962873.2
2003-01-05~2003-01-11,4202620215.0,5398275671.0,276254279.0,13022574592.0,546140350.0,213600495.0,2423431892.0,26082897494.0
2003-01-12~2003-01-18,4180245126.25,5333288580.0,269759066.5,12748723484.75,553840491.0,209982586.0,2425455928.75,25721295263.25
2003-01-19~2003-01-25,4157870037.5,5268301489.0,263263854.0,12474872377.5,561540632.0,206364677.0,2427479965.5,25359693032.5
2003-01-26~2003-02-01,4135494948.75,5203314398.0,256768641.5,12201021270.25,569240773.0,202746768.0,2429504002.25,24998090801.75
2003-02-02~2003-02-08,4113119860.0,5138327307.0,250273429.0,11927170163.0,576940914.0,199128859.0,2431528039.0,24636488571.0
2003-02-09~2003-02-15,3992848333.5,5016107364.75,254329381.25,12216151828.0,552716772.75,194617894.25,2316820680.75,24543592255.25
2003-02-16~2003-02-22,3872576807.0,4893887422.5,258385333.5,12505133493.0,528492631.5,190106929.5,2202113322.5,24450695939.5
2003-02-23~2003-03-01,3752305280.5,4771667480.25,262441285.75,12794115158.0,504268490.25,185595964.75,2087405964.25,24357799623.75
2003-03-02~2003-03-08,3632033754.0,4649447538.0,266497238.0,13083096823.0,480044349.0,181085000.0,1972698606.0,24264903308.0
2003-03-09~2003-03-15,3662404273.8,4656445823.0,271421351.0,13059831408.2,475768238.8,179101962.8,1914294909.0,24219267966.6
2003-03-16~2003-03-22,3692774793.6,4663444108.0,276345464.0,13036565993.4,471492128.6,177118925.6,1855891212.0,24173632625.2
2003-03-23~2003-03-29,3723145313.4,4670442393.0,281269577.0,13013300578.6,467216018.4,175135888.4,1797487515.0,24127997283.8
2003-03-30~2003-04-05,3753515833.2,4677440678.0,286193690.0,12990035163.8,462939908.2,173152851.2,1739083818.0,24082361942.4
2003-04-06~2003-04-12,3783886353.0,4684438963.0,291117803.0,12966769749.0,458663798.0,171169814.0,1680680121.0,24036726601.0
2003-04-13~2003-04-19,3741976017.5,4649972148.5,282464948.0,12932722545.75,449017809.75,168253262.25,1541058851.0,23765465582.75
2003-04-20~2003-04-26,3700065682.0,4615505334.0,273812093.0,12898675342.5,439371821.5,165336710.5,1401437581.0,23494204564.5
2003-04-27~2003-05-03,3658155346.5,4581038519.5,265159238.0,12864628139.25,429725833.25,162420158.75,1261816311.0,23222943546.25
2003-05-04~2003-05-10,3616245011.0,4546571705.0,256506383.0,12830580936.0,420079845.0,159503607.0,1122195041.0,22951682528.0
2003-05-11~2003-05-17,3626980626.5,4656400064.0,260255415.0,12863303093.25,434799831.0,157679030.25,1007502654.75,23006920714.75
2003-05-18~2003-05-24,3637716242.0,4766228423.0,264004447.0,12896025250.5,449519817.0,155854453.5,892810268.5,23062158901.5
2003-05-25~2003-05-31,3648451857.5,4876056782.0,267753479.0,12928747407.75,464239803.0,154029876.75,778117882.25,23117397088.25
2003-06-01~2003-06-07,3659187473.0,4985885141.0,271502511.0,12961469565.0,478959789.0,152205300.0,663425496.0,23172635275.0
2003-06-08~2003-06-14,3661291598.2,5060073117.0,272687400.4,12951183964.8,473765840.0,152113360.6,630685500.2,23201800781.2
2003-06-15~2003-06-21,3663395723.4,5134261093.0,273872289.8,12940898364.6,468571891.0,152021421.2,597945504.4,23230966287.4
2003-06-22~2003-06-28,3665499848.6,5208449069.0,275057179.2,12930612764.4,463377942.0,151929481.8,565205508.6,23260131793.6
2003-06-29~2003-07-05,3667603973.8,5282637045.0,276242068.6,12920327164.2,458183993.0,151837542.4,532465512.8,23289297299.8
2003-07-06~2003-07-12,3669708099.0,5356825021.0,277426958.0,12910041564.0,452990044.0,151745603.0,499725517.0,23318462806.0
2003-07-13~2003-07-19,3753637928.25,5511642287.25,271782897.25,12846657087.0,466036315.0,154590266.75,484418952.0,23488765733.5
2003-07-20~2003-07-26,3837567757.5,5666459553.5,266138836.5,12783272610.0,479082586.0,157434930.5,469112387.0,23659068661.0
2003-07-27~2003-08-02,3921497586.75,5821276819.75,260494775.75,12719888133.0,492128857.0,160279594.25,453805822.0,23829371588.5
2003-08-03~2003-08-09,4005427416.0,5976094086.0,254850715.0,12656503656.0,505175128.0,163124258.0,438499257.0,23999674516.0
2003-08-10~2003-08-16,4001240786.2,5913858422.4,259074916.6,12610138483.4,506432057.2,165072969.0,446602180.6,23902419815.4
2003-08-17~2003-08-23,3997054156.4,5851622758.8,263299118.2,12563773310.8,507688986.4,167021680.0,454705104.2,23805165114.8
2003-08-24~2003-08-30,3992867526.6,5789387095.2,267523319.8,12517408138.2,508945915.6,168970391.0,462808027.8,23707910414.2
2003-08-31~2003-09-06,3988680896.8,5727151431.6,271747521.4,12471042965.6,510202844.8,170919102.0,470910951.4,23610655713.6
2003-09-07~2003-09-13,3984494267.0,5664915768.0,275971723.0,12424677793.0,511459774.0,172867813.0,479013875.0,23513401013.0
2003-09-14~2003-09-20,3913398556.25,5461207328.5,273841386.5,12644220831.75,495851693.0,177233552.0,540988364.5,23506741712.5
2003-09-21~2003-09-27,3842302845.5,5257498889.0,271711050.0,12863763870.5,480243612.0,181599291.0,602962854.0,23500082412.0
2003-09-28~2003-10-04,3771207134.75,5053790449.5,269580713.5,13083306909.25,464635531.0,185965030.0,664937343.5,23493423111.5
2003-10-05~2003-10-11,3700111424.0,4850082010.0,267450377.0,13302849948.0,449027450.0,190330769.0,726911833.0,23486763811.0
2003-10-12~2003-10-18,3754577519.75,4859498967.25,274731901.5,13282890253.0,504374733.0,194032124.25,885197831.25,23755303330.0
2003-10-19~2003-10-25,3809043615.5,4868915924.5,282013426.0,13262930558.0,559722016.0,197733479.5,1043483829.5,24023842849.0
2003-10-26~2003-11-01,3863509711.25,4878332881.75,289294950.5,13242970863.0,615069299.0,201434834.75,1201769827.75,24292382368.0
2003-11-02~2003-11-08,3917975807.0,4887749839.0,296576475.0,13223011168.0,670416582.0,205136190.0,1360055826.0,24560921887.0
2003-11-09~2003-11-15,3939223387.0,4962828791.8,303971978.6,13312754126.8,633324939.8,207149110.6,1463849600.2,24823101934.8
2003-11-16~2003-11-22,3960470967.0,5037907744.6,311367482.2,13402497085.6,596233297.6,209162031.2,1567643374.4,25085281982.6
2003-11-23~2003-11-29,3981718547.0,5112986697.4,318762985.8,13492240044.4,559141655.4,211174951.8,1671437148.6,25347462030.4
2003-11-30~2003-12-06,4002966127.0,5188065650.2,326158489.4,13581983003.2,522050013.2,213187872.4,1775230922.8,25609642078.2
2003-12-07~2003-12-13,4024213707.0,5263144603.0,333553993.0,13671725962.0,484958371.0,215200793.0,1879024697.0,25871822126.0
2003-12-14~2003-12-20,4088458587.75,5363112797.5,327264090.25,13522812189.0,496750484.75,216483161.5,1992771042.0,26007652352.75
2003-12-21~2003-12-27,4152703468.5,5463080992.0,320974187.5,13373898416.0,508542598.5,217765530.0,2106517387.0,26143482579.5
2003-12-28~2004-01-03,4216948349.25,5563049186.5,314684284.75,13224984643.0,520334712.25,219047898.5,2220263732.0,26279312806.25
2004-01-04~2004-01-10,4281193230.0,5663017381.0,308394382.0,13076070870.0,532126826.0,220330267.0,2334010077.0,26415143033.0
2004-01-11~2004-01-17,4313323696.5,5660744919.0,301638168.0,13066666916.0,547761890.75,217702251.25,2390474832.0,26498312673.5
2004-01-18~2004-01-24,4345454163.0,5658472457.0,294881954.0,13057262962.0,563396955.5,215074235.5,2446939587.0,26581482314.0
2004-01-25~2004-01-31,4377584629.5,5656199995.0,288125740.0,13047859008.0,579032020.25,212446219.75,2503404342.0,26664651954.5
2004-02-01~2004-02-07,4409715096.0,5653927533.0,281369526.0,13038455054.0,594667085.0,209818204.0,2559869097.0,26747821595.0
2004-02-08~2004-02-14,4320834390.0,5566620093.0,286198893.0,13179962322.8,578027455.0,207597544.2,2460596970.8,26599837668.8
2004-02-15~2004-02-21,4231953684.0,5479312653.0,291028260.0,13321469591.6,561387825.0,205376884.4,2361324844.6,26451853742.6
2004-02-22~2004-02-28,4143072978.0,5392005213.0,295857627.0,13462976860.4,544748195.0,203156224.6,2262052718.4,26303869816.4
2004-02-29~2004-03-06,4054192272.0,5304697773.0,300686994.0,13604484129.2,528108565.0,200935564.8,2162780592.2,26155885890.2
2004-03-07~2004-03-13,3965311566.0,5217390333.0,305516361.0,13745991398.0,511468935.0,198714905.0,2063508466.0,26007901964.0
2004-03-14~2004-03-20,3973906893.75,5188954939.0,308463932.0,13679354105.0,505221289.25,196146214.0,1972881795.25,25824929168.25
2004-03-21~2004-03-27,3982502221.5,5160519545.0,311411503.0,13612716812.0,498973643.5,193577523.0,1882255124.5,25641956372.5
2004-03-28~2004-04-03,3991097549.25,5132084151.0,314359074.0,13546079519.0,492725997.75,191008832.0,1791628453.75,25458983576.75
2004-04-04~2004-04-10,3999692877.0,5103648757.0,317306645.0,13479442226.0,486478352.0,188440141.0,1701001783.0,25276010781.0
2004-04-11~2004-04-17,3952909251.5,5050135383.25,307748455.75,13501187057.5,478335083.0,184886642.5,1546880414.0,25022082287.5
2004-04-18~2004-04-24,3906125626.0,4996622009.5,298190266.5,13522931889.0,470191814.0,181333144.0,1392759045.0,24768153794.0
2004-04-25~2004-05-01,3859342000.5,4943108635.75,288632077.25,13544676720.5,462048545.0,177779645.5,1238637676.0,24514225300.5
2004-05-02~2004-05-08,3812558375.0,4889595262.0,279073888.0,13566421552.0,453905276.0,174226147.0,1084516307.0,24260296807.0
2004-05-09~2004-05-15,3823281637.0,4994111313.2,285062074.6,13616467232.0,467634138.2,172552206.0,1010827281.6,24369935882.6
