week_range,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2002-04-28~2002-05-04,817427628.9230769,1279149535.6923077,472564681.0769231,84849966.07692307,65486518.92307692,746818300.8461539,226494610.30769232
2002-05-05~2002-05-11,817093922.4807693,1281454842.1730769,472469700.2692308,84880286.26923077,65510700.23076923,747141535.2115384,226739236.07692307
2002-05-12~2002-05-18,816760216.0384616,1283760148.6538463,472374719.46153843,84910606.46153846,65534881.538461536,747464769.5769231,226983861.84615386
2002-05-19~2002-05-25,816426509.5961539,1286065455.1346154,472279738.65384614,84940926.65384616,65559062.84615385,747788003.9423077,227228487.6153846
2002-05-26~2002-06-01,816092803.1538461,1288370761.6153846,472184757.84615386,84971246.84615384,65583244.15384615,748111238.3076923,227473113.3846154
2002-06-02~2002-06-08,815759096.7115384,1290676068.0961537,472089777.03846157,85001567.03846154,65607425.461538464,748434472.6730769,227717739.15384614
2002-06-09~2002-06-15,815425390.2692307,1292981374.5769231,471994796.2307692,85031887.23076923,65631606.76923077,748757707.0384616,227962364.92307693
2002-06-16~2002-06-22,815091683.8269231,1295286681.0576923,471899815.4230769,85062207.42307693,65655788.07692308,749080941.4038461,228206990.69230768
2002-06-23~2002-06-29,814757977.3846154,1297591987.5384614,471804834.61538464,85092527.61538461,65679969.384615384,749404175.7692307,228451616.46153846
2002-06-30~2002-07-06,814424270.9423077,1299897294.0192308,471709853.8076923,85122847.8076923,65704150.692307696,749727410.1346154,228696242.23076922
2002-07-07~2002-07-13,814090564.5,1302202600.5,471614873.0,85153168.0,65728332.0,750050644.5,228940868.0
2002-07-14~2002-07-20,813756858.0576923,1304507906.9807692,471519892.1923077,85183488.1923077,65752513.307692304,750373878.8653846,229185493.76923078
2002-07-21~2002-07-27,813423151.6153846,1306813213.4615386,471424911.38461536,85213808.38461539,65776694.615384616,750697113.2307693,229430119.53846154
2002-07-28~2002-08-03,813089445.1730769,1309118519.9423077,471329930.5769231,85244128.57692307,65800875.92307692,751020347.5961539,229674745.30769232
2002-08-04~2002-08-10,812755738.7307693,1311423826.4230769,471234949.7692308,85274448.76923077,65825057.23076923,751343581.9615384,229919371.07692307
2002-08-11~2002-08-17,812422032.2884616,1313729132.9038463,471139968.96153843,85304768.96153846,65849238.538461536,751666816.3269231,230163996.84615386
2002-08-18~2002-08-24,812088325.8461539,1316034439.3846154,471044988.15384614,85335089.15384616,65873419.84615385,751990050.6923077,230408622.6153846
2002-08-25~2002-08-31,811754619.4038461,1318339745.8653846,470950007.34615386,85365409.34615384,65897601.15384615,752313285.0576923,230653248.3846154
2002-09-01~2002-09-07,811420912.9615384,1320645052.3461537,470855026.53846157,85395729.53846154,65921782.461538464,752636519.4230769,230897874.15384614
2002-09-08~2002-09-14,811087206.5192307,1322950358.8269231,470760045.7307692,85426049.73076923,65945963.76923077,752959753.7884616,231142499.92307693
2002-09-15~2002-09-21,810753500.0769231,1325255665.3076923,470665064.9230769,85456369.92307693,65970145.07692308,753282988.1538461,231387125.69230768
2002-09-22~2002-09-28,810419793.6346154,1327560971.7884614,470570084.11538464,85486690.11538461,65994326.384615384,753606222.5192307,231631751.46153846
2002-09-29~2002-10-05,810086087.1923077,1329866278.2692308,470475103.3076923,85517010.3076923,66018507.692307696,753929456.8846154,231876377.23076922
2002-10-06~2002-10-12,809752380.75,1332171584.75,470380122.5,85547330.5,66042689.0,754252691.25,232121003.0
2002-10-13~2002-10-19,809418674.3076923,1334476891.2307692,470285141.6923077,85577650.6923077,66066870.307692304,754575925.6153846,232365628.76923078
2002-10-20~2002-10-26,809084967.8653846,1336782197.7115386,470190160.88461536,85607970.88461539,66091051.615384616,754899159.9807693,232610254.53846154
2002-10-27~2002-11-02,808751261.4230769,1339087504.1923077,470095180.0769231,85638291.07692307,66115232.92307692,755222394.3461539,232854880.30769232
2002-11-03~2002-11-09,808417554.9807693,1341392810.6730769,470000199.2692308,85668611.26923077,66139414.23076923,755545628.7115384,233099506.07692307
2002-11-10~2002-11-16,808083848.5384616,1343698117.1538463,469905218.46153843,85698931.46153846,66163595.538461536,755868863.0769231,233344131.84615386
2002-11-17~2002-11-23,807750142.0961539,1346003423.6346154,469810237.65384614,85729251.65384616,66187776.84615385,756192097.4423077,233588757.6153846
2002-11-24~2002-11-30,807416435.6538461,1348308730.1153846,469715256.84615386,85759571.84615384,66211958.15384615,756515331.8076923,233833383.3846154
2002-12-01~2002-12-07,807082729.2115384,1350614036.5961537,469620276.03846157,85789892.03846154,66236139.461538464,756838566.1730769,234078009.15384614
2002-12-08~2002-12-14,806749022.7692307,1352919343.0769231,469525295.2307692,85820212.23076923,66260320.76923077,757161800.5384616,234322634.92307693
2002-12-15~2002-12-21,806415316.3269231,1355224649.5576923,469430314.4230769,85850532.42307693,66284502.07692308,757485034.9038461,234567260.69230768
2002-12-22~2002-12-28,806081609.8846154,1357529956.0384614,469335333.61538464,85880852.61538461,66308683.384615384,757808269.2692307,234811886.46153846
2002-12-29~2003-01-04,805747903.4423077,1359835262.5192308,469240352.8076923,85911172.8076923,66332864.692307696,758131503.6346154,235056512.23076922
2003-01-05~2003-01-11,805414197.0,1362140569.0,469145372.0,85941493.0,66357046.0,758454738.0,235301138.0
2003-01-12~2003-01-18,805636120.8076923,1362436434.4038463,468715732.63461536,85828851.0576923,66282699.59615385,759200607.1346154,235461910.3846154
2003-01-19~2003-01-25,805858044.6153846,1362732299.8076923,468286093.2692308,85716209.11538461,66208353.192307696,759946476.2692307,235622682.76923078
2003-01-26~2003-02-01,806079968.4230769,1363028165.2115386,467856453.90384614,85603567.17307693,66134006.788461536,760692345.4038461,235783455.15384614
2003-02-02~2003-02-08,806301892.2307693,1363324030.6153846,467426814.53846157,85490925.23076923,66059660.384615384,761438214.5384616,235944227.53846154
2003-02-09~2003-02-15,806523816.0384616,1363619896.0192308,466997175.1730769,85378283.28846154,65985313.98076923,762184083.6730769,236104999.92307693
2003-02-16~2003-02-22,806745739.8461539,1363915761.4230769,466567535.8076923,85265641.34615384,65910967.57692308,762929952.8076923,236265772.30769232
2003-02-23~2003-03-01,806967663.6538461,1364211626.8269231,466137896.4423077,85152999.40384616,65836621.17307692,763675821.9423077,236426544.69230768
2003-03-02~2003-03-08,807189587.4615384,1364507492.2307692,465708257.0769231,85040357.46153846,65762274.76923077,764421691.0769231,236587317.07692307
2003-03-09~2003-03-15,807411511.2692307,1364803357.6346154,465278617.71153843,84927715.51923077,65687928.365384616,765167560.2115384,236748089.46153846
2003-03-16~2003-03-22,807633435.0769231,1365099223.0384614,464848978.34615386,84815073.57692307,65613581.961538464,765913429.3461539,236908861.84615386
2003-03-23~2003-03-29,807855358.8846154,1365395088.4423077,464419338.9807692,84702431.63461539,65539235.557692304,766659298.4807693,237069634.23076922
2003-03-30~2003-04-05,808077282.6923077,1365690953.8461537,463989699.61538464,84589789.6923077,65464889.15384615,767405167.6153846,237230406.6153846
2003-04-06~2003-04-12,808299206.5,1365986819.25,463560060.25,84477147.75,65390542.75,768151036.75,237391179.0
2003-04-13~2003-04-19,808521130.3076923,1366282684.6538463,463130420.88461536,84364505.8076923,65316196.34615385,768896905.8846154,237551951.3846154
2003-04-20~2003-04-26,808743054.1153846,1366578550.0576923,462700781.5192308,84251863.86538461,65241849.942307696,769642775.0192307,237712723.76923078
2003-04-27~2003-05-03,808964977.9230769,1366874415.4615386,462271142.15384614,84139221.92307693,65167503.538461536,770388644.1538461,237873496.15384614
2003-05-04~2003-05-10,809186901.7307693,1367170280.8653846,461841502.78846157,84026579.98076923,65093157.134615384,771134513.2884616,238034268.53846154
2003-05-11~2003-05-17,809408825.5384616,1367466146.2692308,461411863.4230769,83913938.03846154,65018810.73076923,771880382.4230769,238195040.92307693
2003-05-18~2003-05-24,809630749.3461539,1367762011.6730769,460982224.0576923,83801296.09615384,64944464.32692308,772626251.5576923,238355813.30769232
2003-05-25~2003-05-31,809852673.1538461,1368057877.0769231,460552584.6923077,83688654.15384616,64870117.92307692,773372120.6923077,238516585.69230768
2003-06-01~2003-06-07,810074596.9615384,1368353742.4807692,460122945.3269231,83576012.21153846,64795771.51923077,774117989.8269231,238677358.07692307
2003-06-08~2003-06-14,810296520.7692307,1368649607.8846154,459693305.96153843,83463370.26923077,64721425.115384616,774863858.9615384,238838130.46153846
2003-06-15~2003-06-21,810518444.5769231,1368945473.2884614,459263666.59615386,83350728.32692307,64647078.711538464,775609728.0961539,238998902.84615386
2003-06-22~2003-06-28,810740368.3846154,1369241338.6923077,458834027.2307692,83238086.38461539,64572732.307692304,776355597.2307693,239159675.23076922
2003-06-29~2003-07-05,810962292.1923077,1369537204.0961537,458404387.86538464,83125444.4423077,64498385.90384615,777101466.3653846,239320447.6153846
2003-07-06~2003-07-12,811184216.0,1369833069.5,457974748.5,83012802.5,64424039.5,777847335.5,239481220.0
2003-07-13~2003-07-19,811406139.8076923,1370128934.9038463,457545109.13461536,82900160.5576923,64349693.09615385,778593204.6346154,239641992.3846154
2003-07-20~2003-07-26,811628063.6153846,1370424800.3076923,457115469.7692308,82787518.61538461,64275346.692307696,779339073.7692307,239802764.76923078
2003-07-27~2003-08-02,811849987.4230769,1370720665.7115386,456685830.40384614,82674876.67307693,64201000.288461536,780084942.9038461,239963537.15384614
2003-08-03~2003-08-09,812071911.2307693,1371016531.1153846,456256191.03846157,82562234.73076923,64126653.884615384,780830812.0384616,240124309.53846154
