week_range,SeoulPopulation,BusanPopulation,DaeguPopulation,InchenPopulation,GwanguPopulation,DaejeonPopulation,UlsanPopulation,GyeonggiPopulation,GangwonPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,JeonbukPopulation,JeollanamPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,JejuPopulation
2002-05-19~2002-05-25,10581419.510850495,3449079.2082398967,2376493.089629125,2126909.548644543,1349078.2526652673,1332990.9261412993,844616.679124862,10845177.953626392,1442823.9775007064,1444294.578758999,2113316.484810209,1713963.1225831448,1793622.7265595398,2482111.921823598,2859517.5707522347,396104.5001026934
2002-05-26~2002-06-01,10581135.993316915,3449575.2202942926,2376994.4216808565,2128837.0927541554,1349455.5848982444,1333629.6278427327,845518.6547724116,10846892.10796595,1443101.8471740144,1444605.1709776958,2113098.656562083,1714525.2604191953,1794048.0387109665,2482815.305518225,2860834.461154327,396534.84994699433
2002-06-02~2002-06-08,10580891.788659412,3449999.4343601284,2377423.3686417914,2130487.4875916294,1349778.5559786265,1334176.2450079133,846290.7777225026,10848363.038307227,1443339.72509906,1444871.1450771028,2112912.3385510854,1715006.3100072995,1794411.9808330543,2483417.3115826305,2861961.870634737,396903.4954132177
2002-06-09~2002-06-15,10580605.49532549,3450493.255126017,2377922.912832241,2132410.864769455,1350154.8229332077,1334812.9833585683,847190.4222918322,10850081.05476398,1443616.9039175247,1445181.159090355,2112695.424773551,1715566.6212101588,1794835.866966499,2484118.608704951,2863275.602353601,397333.3183234378
2002-06-16~2002-06-22,10580317.707329845,3450985.8959673247,2378421.494328154,2134331.998214781,1350530.516276345,1335448.6645203426,848088.8116651971,10851801.1508223,1443893.710737228,1445490.8617622142,2112479.0034032585,1716125.9488412999,1795258.985244107,2484818.782288337,2864587.6332430346,397762.85749992204
2002-06-23~2002-06-29,10580028.424672477,3451477.356884051,2378919.11312953,2136250.887927606,1350905.636008038,1336083.2884932363,848985.9458425972,10853523.326482188,1444170.1455581693,1445800.2530926801,2112263.074440208,1716684.2929007225,1795681.3356658784,2485517.8323327894,2865897.963303038,398192.1129426705
2002-06-30~2002-07-06,10579737.647353387,3451967.637876197,2379415.76923637,2138167.53390793,1351280.182128287,1336716.8552772491,849881.8248240327,10855247.58174364,1444446.208380349,1446109.333081753,2112047.6378843985,1717241.6533884269,1796102.9182318132,2486215.758838307,2867206.5925336103,398621.084651683
2002-07-07~2002-07-13,10579445.375372574,3452456.738943762,2379911.462648673,2140081.936155753,1351654.154637092,1337349.3648723813,850776.4486095036,10856973.916606661,1444721.899203767,1446418.1017294326,2111832.693735831,1717798.030304413,1796523.7329419116,2486912.5618048906,2868513.5209347527,399049.77262695966
2002-07-14~2002-07-20,10579151.608730039,3452944.660086746,2380406.1933664395,2141994.0946710766,1352027.553534453,1337980.817278633,851669.8171990097,10858702.331071246,1444997.2180284234,1446726.559035719,2111618.2419945053,1718353.4236486808,1796943.7797961733,2487608.2412325405,2869818.748506464,399478.1768685004
2002-07-21~2002-07-27,10578856.347425781,3453431.4013051493,2380899.9613896697,2143904.009453899,1352400.37882037,1338611.2124960038,852561.9305925511,10860432.8251374,1445272.164854318,1447034.705000612,2111404.2826604214,1718907.8334212303,1797363.0587945986,2488302.7971212557,2871122.2752487455,399906.29737630533
