week_range,SeoulPopulation,BusanPopulation,DaeguPopulation,InchenPopulation,GwanguPopulation,DaejeonPopulation,UlsanPopulation,GyeonggiPopulation,GangwonPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,JeonbukPopulation,JeollanamPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,JejuPopulation
2006-11-19~2006-11-25,10475951.975927716,3532409.2048558337,2466846.480930083,2513171.7196454974,1421109.0069916397,1452615.9936103267,1019891.2231958495,11297332.485164305,1497212.029606373,1507872.923443837,2076034.2909279137,1817832.0430663151,1871578.0961721668,2614937.100872097,3118932.9275665097,488134.3081936282
2006-11-26~2006-12-02,10475322.550966907,3532632.1486500814,2467125.0179604897,2514579.999947837,1421353.5891475698,1453010.0315993747,1020502.7106344302,11299527.918723553,1497403.8081376855,1508111.4623686778,2075930.4197842989,1818166.554304697,1871825.7045442716,2615380.4655562392,3119856.1974432585,488498.9939447723
2006-12-03~2006-12-09,10474691.631344378,3532853.912519748,2467402.5922963596,2515986.036517676,1421597.597692056,1453403.012399542,1021112.9428770461,11301725.43188437,1497595.2146702365,1508349.689952125,2075827.0410479256,1818500.0819713608,1872072.54506054,2615822.7067014473,3120777.766490577,488863.39596218045
2006-12-10~2006-12-16,10474059.217060125,3533074.4964648336,2467679.203937693,2517389.829355014,1421841.032625098,1453794.9360108285,1021721.9199236972,11303925.024646752,1497786.2492040256,1508587.6061941793,2075724.154718794,1818832.6260663061,1872318.6177209718,2616263.824307721,3121697.6347084646,489227.5142458528
2006-12-17~2006-12-23,10473425.308114149,3533293.900485338,2467954.85288449,2518791.378459852,1422083.893946696,1454185.8024332344,1022329.6417743838,11306126.697010702,1497976.911739053,1508825.2110948404,2075621.760796904,1819164.1865895332,1872563.9225255672,2616703.8183750603,3122615.802096922,489591.3487957893
2006-12-24~2006-12-30,10472789.90450645,3533512.124581262,2468229.53913675,2520190.683832189,1422326.18165685,1454575.6116667595,1022936.1084291057,11308330.448976217,1498167.2022753188,1509062.504654108,2075519.8592822559,1819494.7635410419,1872808.4594743259,2617142.688903466,3123532.268655949,489954.89961198985
2006-12-31~2007-01-06,10472153.00623703,3533729.168752605,2468503.262694474,2521587.7454720256,1422567.8957555601,1454964.3637114041,1023541.3198878629,11310536.2805433,1498357.1208128228,1509299.4868719827,2075418.4501748495,1819824.3569208323,1873052.228567248,2617580.4358929372,3124447.034385545,490318.1666944546
2007-01-07~2007-01-13,10471605.90380595,3533914.2674901104,2468737.116660544,2522783.4410496913,1422774.622720856,1455296.738313623,1024059.0735332747,11312428.648508167,1498519.6120500364,1509502.3666849704,2075331.9199987547,1820106.082689285,1873260.5623534746,2617954.753352924,3125229.765575244,490629.3126505326
2007-01-14~2007-01-20,10470966.229736188,3534129.120372946,2469009.052356986,2524176.3357577412,1423015.27154117,1455683.5270074892,1024661.9539138118,11314638.342192445,1498708.8397326972,1509738.7706974004,2075231.4253619402,1820433.8494358843,1873502.9054284145,2618390.4137700885,3126141.3726216126,490992.0527989164
2007-01-21~2007-01-27,10470325.061004702,3534342.7933312007,2469280.0253588906,2525566.9867332904,1423255.3467500398,1456069.2585124746,1025263.5790983842,11316850.115478288,1498897.6954165963,1509974.8633684372,2075131.4231323672,1820760.6326107653,1873744.4806475176,2618824.9506483194,3127051.27883855,491354.5092135644
2007-01-28~2007-02-03,10469682.397611495,3534555.2863648743,2469550.0356662585,2526955.393976339,1423494.8483474657,1456453.9328285793,1025863.949086992,11319063.968365699,1499086.1791017337,1510210.6446980808,2075031.9133100358,1821086.4322139279,1873985.2880107844,2619258.363987616,3127959.4842260573,491716.6818944765
2007-02-04~2007-02-10,10469130.35364574,3534736.4841272347,2469780.7068463103,2528143.6714996155,1423699.6788830897,1456782.812234907,1026377.552900847,11320963.21174799,1499247.4404654903,1510412.4951782993,2074947.011092577,1821364.9061738425,1874191.083171592,2619628.96689031,3128736.5922653945,492026.8897920808
2007-02-11~2007-02-17,10468484.914452191,3534946.7858724007,2470048.9292923966,2529527.9118108773,1423938.1152021193,1457165.5232002335,1026975.5918112346,11323180.926752595,1499435.2332957846,1510647.6983024983,2074848.4157408376,1821688.8791438139,1874430.4645168767,2620060.2936573,3129641.638969674,492388.53553891205
2007-02-18~2007-02-24,10467837.980596919,3535155.9076929865,2470316.1890439456,2530909.9083896386,1424175.9779097051,1457547.1769766791,1027572.3755256576,11325400.721358769,1499622.654127317,1510882.590085304,2074750.3127963396,1822011.868542067,1874669.0780063246,2620490.4968853556,3130544.9848445226,492749.8975520074
2007-02-25~2007-03-03,10467189.552079923,3535363.849588991,2470582.4861009587,2532289.6612358997,1424413.2670058468,1457927.7735642442,1028167.9040441158,11327622.595566506,1499809.702960088,1511117.1705267169,2074652.7022590837,1822333.8743686017,1874906.923639936,2620919.5765744774,3131446.629889941,493110.9758313669
2007-03-04~2007-03-10,10466353.662034724,3535629.469688552,2470923.45345984,2534060.33226803,1424717.5101289686,1458415.5586135744,1028931.739198267,11330482.346717533,1500049.647706082,1511418.3164701595,2074527.9265340688,1822746.4366116216,1875211.596890901,2621469.5995461387,3132603.38862754,493574.80241852335
2007-03-11~2007-03-17,10465701.817148078,3535834.714614086,2471187.5500721973,2535434.956582861,1424953.4881132382,1458793.7387694123,1029524.3986973774,11332708.97430028,1500235.8462559693,1511652.185274102,2074431.4414990796,1823066.1942742288,1875447.6874254572,2621896.111146268,3133501.1460628314,493935.2321636295
2007-03-18~2007-03-24,10465048.477599708,3536038.779615039,2471450.6839900184,2536807.3371651913,1425188.8924860638,1459170.8617363693,1030115.8030005231,11334937.681484595,1500421.6728070944,1511885.7427366513,2074335.448871332,1823384.9683651177,1875683.010104177,2622321.499207463,3134397.202668692,494295.3781749997
2007-03-25~2007-03-31,10464393.643389616,3536241.6646914114,2471712.855213303,2538177.474015021,1425423.7232474454,1459546.9275144457,1030705.9521077042,11337168.468270475,1500607.1273594578,1512118.9888578074,2074239.948650826,1823702.7588842884,1875917.5649270602,2622745.7637297236,3135291.5584451226,494655.2404526341
2007-04-01~2007-04-07,10463831.167295106,3536414.6270617987,2471936.807178426,2539350.091201253,1425624.5502093171,1459868.428173892,1031210.7951660508,11339082.226422885,1500765.7923236939,1512318.6663021792,2074158.4832349317,1823974.367915067,1876118.000767539,2623108.5247892444,3136056.795389251,494963.46800457174
2007-04-08~2007-04-14,10463173.557284672,3536615.320849664,2472197.1905404283,2540716.0611192957,1425858.3156923028,1460242.53060119,1031798.6131950116,11341316.875325961,1500950.5560212142,1512551.3342178909,2074063.8974850178,1824290.3318010462,1876351.1295724402,2623530.702739199,3136947.992482453,495322.80334812525
2007-04-15~2007-04-21,10462514.452612516,3536814.8347129477,2472456.611207894,2542079.787304838,1426091.507563844,1460615.5758396073,1032385.1760280079,11343553.603830604,1501134.9477199728,1512783.6907922092,2073969.8041423452,1824605.3121153074,1876583.4905215045,2623951.7571502193,3137837.488746225,495681.85495794285
2007-04-22~2007-04-28,10461853.853278637,3537013.168651651,2472715.069180823,2543441.2697578804,1426324.1258239418,1460987.563889144,1032970.4836650394,11345792.411936814,1501318.9674199698,1513015.7360251343,2073876.2032069147,1824919.30885785,1876815.0836147324,2624371.6880223053,3138725.284180566,496040.6228340246
2007-04-29~2007-05-05,10461191.759283034,3537210.3226657733,2472972.5644592154,2544800.5084784217,1426556.1704725951,1461358.4947497998,1033554.5361061062,11348033.29964459,1501502.615121205,1513247.4699166664,2073783.0946787256,1825232.3220286744,1877045.9088521237,2624790.495355457,3139611.378785477,496399.1069763705
2007-05-06~2007-05-12,10460528.17062571,3537406.296755315,2473229.0970430714,2546157.5034664627,1426787.6415098046,1461728.368421575,1034137.3333512085,11350276.26695393,1501685.8908236786,1513478.8924668052,2073690.4785577785,1825544.3516277806,1877275.9662336782,2625208.179149675,3140495.772560958,496757.30738498055
2007-05-13~2007-05-19,10459863.087306663,3537601.090920275,2473484.6669323905,2547512.254722003,1427018.53893557,1462097.1849044696,1034718.8754003459,11352521.31386484,1501868.7945273903,1513710.0036755507,2073598.3548440728,1825855.3976551683,1877505.2557593964,2625624.7394049587,3141378.465507007,497115.2240598547
2007-05-20~2007-05-26,10459196.509325894,3537794.705160655,2473739.2741271737,2548864.7622450422,1427248.8627498914,1462464.9441984836,1035299.1622535187,11354768.440377316,1502051.3262323404,1513940.803542903,2073506.723537609,1826165.4601108378,1877733.7774292778,2626040.176121308,3142259.457623627,497472.85700099304
2007-05-27~2007-06-02,10458528.436683401,3537987.1394764534,2473992.9186274195,2550215.0260355817,1427478.6129527688,1462831.646303617,1035878.1939107269,11357017.646491356,1502233.4859385288,1514171.2920688621,2073415.584638387,1826474.5389947891,1877961.5312433229,2626454.4892987227,3143138.7489108155,497830.2062083955
2007-06-03~2007-06-09,10457954.61336112,3538151.1440520636,2474209.5619727955,2551370.6091709924,1427675.085150208,1463145.1209576833,1036373.5077262395,11358947.192639334,1502389.3267489003,1514368.605860208,2073337.8574978788,1826738.6809096653,1878156.1376476546,2626808.7206340902,3143891.0734355943,498136.2797001343
2007-06-10~2007-06-16,10457283.764918286,3538341.387079355,2474461.4186117593,2552716.706029745,1427903.7700746893,1463509.8597120382,1036950.2083052276,11361200.26087057,1502570.7956002455,1514598.5161807225,2073247.6330692484,1827045.9331604252,1878382.4654437173,2627220.947239199,3144767.206039555,498493.10197345586
2007-06-17~2007-06-23,10456611.421813728,3538530.4501820654,2474712.3125561867,2554060.5591559964,1428131.8813877266,1463873.5412775122,1037525.6536882509,11363455.408703374,1502751.892452829,1514828.115159844,2073157.9010478598,1827352.2018394668,1878608.0253839437,2627632.0503053735,3145641.637814085,498849.6405130416
2007-06-24~2007-06-30,10455937.58404745,3538718.333360195,2474962.243806077,2555402.1685497477,1428359.4190893199,1464236.1656541058,1038099.8438753095,11365712.636137744,1502932.6173066508,1515057.402797572,2073068.6614337128,1827657.4869467902,1878832.817468333,2628042.029832614,3146514.368759185,499205.8953188914
2007-07-01~2007-07-07,10455262.251619449,3538905.0366137438,2475211.2123614317,2556741.5342109986,1428586.383179469,1464597.7328418186,1038672.7788664035,11367971.94317368,1503112.9701617109,1515286.379093907,2072979.9142268077,1827961.7884823952,1879056.841696886,2628450.88582092,3147385.398874854,499561.86639100534
2007-07-08~2007-07-14,10454585.424529724,3539090.5599427116,2475459.218222249,2558078.6561397486,1428812.7736581743,1464958.2428406507,1039244.4586615327,11370233.329811184,1503292.9510180093,1515515.044048849,2072891.659427144,1828265.106446282,1879280.0980696026,2628858.618270292,3148254.7281610933,499917.55372938345
2007-07-15~2007-07-21,10453907.102778276,3539274.9033470987,2475706.26138853,2559413.5343359984,1429038.5905254353,1465317.6956506022,1039814.8832606974,11372496.796050254,1503472.559875546,1515743.3976623975,2072803.8970347224,1828567.4408384503,1879502.5865864824,2629265.22718073,3149122.3566179015,500272.9573340257
2007-07-22~2007-07-28,10453227.286365107,3539458.0668269047,2475952.3418602743,2560746.1687997472,1429263.8337812524,1465676.091271673,1040384.0526638973,11374762.34189089,1503651.796734321,1515971.4399345529,2072716.6270495425,1828868.7916589004,1879724.3072475258,2629670.7125522336,3149988.284245279,500628.07720493205
2007-07-29~2007-08-04,10452545.975290215,3539640.05038213,2476197.459637482,2562076.559530996,1429488.5034256256,1466033.429703863,1040951.9668711326,11377029.967333093,1503830.6615943343,1516199.170865315,2072629.849471604,1829169.158907632,1879945.2600527324,2630075.074384803,3150852.511043227,500982.9133421026
2007-08-05~2007-08-11,10451960.80474016,3539795.0971629624,2476406.794363111,2563215.1086155856,1429680.6208586327,1466338.8783525496,1041437.7514438112,11378975.301476635,1503983.6782508413,1516394.121003635,2072555.860606482,1829425.833706606,1880134.0370209173,2630420.775996017,3151591.9231486553,501286.8327736426
2007-08-12~2007-08-18,10451276.717864927,3539974.88942968,2476650.124279036,2564541.3324150476,1429904.2252246097,1466694.2534339614,1042003.3345728264,11381246.789036034,1504161.8522560115,1516621.2737289525,2072469.9974991353,1829724.3743221466,1880353.5638081417,2630823.05125628,3152452.991263374,501641.14197673224
2007-08-19~2007-08-25,10450591.13632797,3540153.501771817,2476892.491500425,2565865.3124820087,1430127.2559791426,1467048.5713264924,1042567.6625058769,11383520.356196998,1504339.6542624198,1516848.115112877,2072384.6267990305,1830021.9313659687,1880572.3227395297,2631224.202977609,3153312.358548663,501995.167446086
2007-08-26~2007-09-01,10449904.060129292,3540330.934189373,2477133.8960272777,2567187.048816469,1430349.7131222317,1467401.8320301427,1043130.7352429626,11385796.002959529,1504517.0842700666,1517074.6451554082,2072299.7485061672,1830318.5048380727,1880790.313815081,2631624.2311600037,3154170.0250045215,502348.90918170393
2007-09-02~2007-09-08,10449313.948044563,3540482.079995061,2477340.0479668872,2568318.1798466695,1430539.9341255666,1467703.785482938,1043612.3699840846,11387748.212520497,1504668.8710531166,1517268.5659609588,2072227.387599681,1830571.9278285084,1880976.552157847,2631966.2182139247,3154903.813959588,502651.8905547703
2007-09-09~2007-09-15,10448624.096045543,3540657.3211241094,2477579.6646324573,2569635.7492493433,1430761.3259902596,1468055.08283581,1044173.1116429502,11390027.721400224,1504845.61020592,1517494.5177980454,2072143.4237774096,1830866.6746674213,1881193.117215416,2632364.1598240132,3155758.3217322184,503005.1053563073
2007-09-16~2007-09-22,10447932.749384798,3540831.3823285773,2477818.318603491,2570951.0749195167,1430982.1442435086,1468405.3229998013,1044732.5981058512,11392309.309881516,1505021.9773599617,1517720.158293739,2072059.95236238,1831160.4379346156,1881408.9144171486,2632760.977895167,3156611.128675418,503358.03642410843
2007-09-23~2007-09-29,10447239.908062331,3541004.263608464,2478056.0098799877,2572264.1568571893,1431202.3888853134,1468754.5059749119,1045290.8293727875,11394592.977964375,1505197.972515242,1517945.4874480392,2071976.973354592,1831453.2176300918,1881623.9437630447,2633156.672427387,3157462.234789187,503710.6837581737
2007-09-30~2007-10-06,10446545.572078142,3541175.96496377,2478292.738461948,2573574.9950623615,1431422.0599156742,1469102.6317611418,1045847.8054437591,11396878.7256488,1505373.5956717604,1518170.5052609462,2071894.4867540458,1831745.0137538495,1881838.205253104,2633551.2434206726,3158311.6400735257,504063.04735850316
2007-10-07~2007-10-13,10445849.74143223,3541346.4863944952,2478528.504349372,2574883.5895350333,1431641.1573345908,1469449.700358491,1046403.5263187661,11399166.552934794,1505548.8468295168,1518395.2117324602,2071812.4925607413,1832035.826305889,1882051.6988873268,2633944.6908750245,3159159.344528434,504415.1272250967
2007-10-14~2007-10-20,10445152.416124597,3541515.8279006393,2478763.307542259,2576189.940275204,1431859.6811420636,1469795.7117669596,1046957.9919978082,11401456.459822351,1505723.725988512,1518619.6068625809,2071730.9907746783,1832325.6552862101,1882264.424665713,2634337.014790442,3160005.348153912,504766.92335795437
2007-10-21~2007-10-27,10444453.596155241,3541683.9894822026,2478997.14804061,2577494.0472828746,1432077.6313380923,1470140.6659865475,1047511.2024808858,11403748.446311478,1505898.233148745,1518843.6906513083,2071649.9813958572,1832614.500694813,1882476.3825882627,2634728.215166925,3160849.650949959,505118.4357570762
2007-10-28~2007-11-03,10443753.28152416,3541850.971139185,2479230.0258444236,2578795.9105580444,1432295.007922677,1470484.5630172547,1048063.1577679986,11406042.51240217,1506072.3683102166,1519067.4630986424,2071569.464424278,1832902.3625316976,1882687.5726549758,2635118.292004474,3161692.252916576,505469.66442246217
2007-11-04~2007-11-10,10443151.82221166,3541993.1591500957,2479428.869164286,2579910.007537424,1432480.8741615799,1470778.4904646701,1048535.2632662868,11408010.509958703,1506221.3309394023,1519259.020251167,2071500.8417931776,1833148.318406231,1882867.9815615946,2635451.7493342417,3162413.1294522923,505770.49173532974
2007-11-11~2007-11-17,10442448.73178024,3542157.9495185707,2479659.959106818,2581207.7038808074,1432697.1854677685,1471120.424144599,1049084.8874751795,11410308.43816659,1506394.7752460307,1519482.2144930568,2071421.23929219,1833434.3536099242,1883077.7456103256,2635839.739599484,3163252.572735681,506121.19346663484
2007-11-18~2007-11-24,10441744.146687096,3542321.5599624645,2479890.086354813,2582503.15649169,1432912.9231625132,1471461.300635647,1049633.2564881076,11412608.445976045,1506567.8475538974,1519705.0973935532,2071342.129198444,1833719.4052418992,1883286.7418032198,2636226.6063257926,3164090.315189639,506471.61146420403
2007-11-25~2007-12-01,10441038.06693223,3542483.990481778,2480119.2509082714,2583796.365370072,1433128.0872458136,1471801.1199378145,1050180.3703050711,11414910.533387065,1506740.5478630022,1519927.6689526567,2071263.5115119398,1834003.473302156,1883494.9701402776,2636612.349513167,3164926.356814167,506821.7457280374
2007-12-02~2007-12-08,10440330.49251564,3542645.2410765104,2480347.452767194,2585087.3305159532,1433342.67771767,1472139.8820511012,1050726.2289260698,11417214.70039965,1506912.8761733454,1520149.9291703668,2071185.3862326774,1834286.5577906943,1883702.4306214987,2636996.969161607,3165760.697609264,507171.5962581349
2007-12-09~2007-12-15,10439621.423437329,3542805.311746662,2480574.691931579,2586376.051929334,1433556.6945780828,1472477.5869755074,1051270.8323511037,11419520.947013805,1507084.832484927,1520371.8780466837,2071107.7533606566,1834568.6587075144,1883909.1232468833,2637380.4652711125,3166593.337574931,507521.16305449646
2007-12-16~2007-12-22,10438910.859697295,3542964.2024922324,2480800.968401428,2587662.5296102143,1433770.137827051,1472814.2347110328,1051814.1805801732,11421829.273229524,1507256.416797747,1520593.5155816074,2071030.6128958776,1834849.7760526163,1884115.0480164313,2637762.8378416845,3167424.276711167,507870.44611712225
2007-12-23~2007-12-29,10438198.80129554,3543121.913313222,2481026.28217674,2588946.763558594,1433983.0074645756,1473149.8252576776,1052356.2736132778,11424139.679046812,1507427.629111805,1520814.841775138,2070953.9648383402,1835129.9098259995,1884320.2049301427,2638144.086873322,3168253.515017973,508219.44544601213
2007-12-30~2008-01-05,10437485.24823206,3543278.444209631,2481250.6332575157,2590228.7537744734,1434195.303490656,1473484.3586154415,1052897.1114504177,11426452.164465664,1507598.4694271013,1521035.856627275,2070877.8091880446,1835409.0600276648,1884524.5939880176,2638524.212366025,3169081.052495348,508568.16104116617
2008-01-06~2008-01-12,10436872.441691788,3543411.674425764,2481442.167957631,2591325.8167030327,1434376.8149651266,1473770.2600574773,1053359.6877058719,11428435.950017765,1507744.6079024225,1521225.0501267738,2070812.9248323306,1835647.5487862958,1884699.1734584894,2638849.1399716395,3169789.0166117144,508866.8342938349
2008-01-13~2008-01-19,10436156.112827966,3543566.0140336654,2481664.731177124,2592603.639987125,1434588.045712811,1474102.8300644627,1053898.1944647918,11430752.297553813,1507914.7573628759,1521445.4867734665,2070737.6836526266,1835924.8723547696,1884902.136498382,2639227.1788920364,3170613.3954058615,509215.0229549081
2008-01-20~2008-01-26,10435438.289302422,3543719.173716986,2481886.331702081,2593879.2195387166,1434798.7028490512,1474434.3428825678,1054435.446027747,11433070.724691426,1508084.5348245674,1521665.612078766,2070662.9348801645,1836201.2123515252,1885104.331682438,2639604.0942734987,3171436.0733705782,509562.92788224533
2008-01-27~2008-02-02,10434718.971115155,3543871.153475726,2482106.9695325014,2595152.5553578082,1435008.7863738476,1474764.7985117922,1054971.4423947374,11435391.231430609,1508253.9402874971,1521885.4260426722,2070588.678514944,1836476.5687765626,1885305.7590106574,2639979.8861160274,3172257.0505058644,509910.5490758468
2008-02-03~2008-02-09,10434101.22304021,3544000.482716714,2482295.3214465976,2596242.2002319777,1435188.401418646,1475047.2047579365,1055429.8688186351,11437381.892400132,1508398.8488893614,1522073.5902094017,2070525.4221178656,1836711.8057266555,1885477.7998557105,2640301.099164349,3172959.3914718693,510208.2842700419
2008-02-10~2008-02-16,10433379.129052602,3544150.2711869464,2482514.1714157355,2597511.3691192823,1435397.4196650463,1475375.6970363825,1055963.5341074055,11439706.261256509,1508567.5634974479,1522292.8259678634,2070452.080223237,1836985.3355185017,1885677.8011659477,2640674.8044345714,3173777.209923927,510555.37852956244
2008-02-17~2008-02-23,10432655.540403271,3544298.8797325976,2482732.058690337,2598778.294274086,1435605.8643000026,1475703.1321259476,1056495.944200211,11442032.709714452,1508735.9061067728,1522511.750384932,2070379.23073585,1837257.8817386294,1885877.0346203484,2641047.386165859,3174593.3275465546,510902.18905534706
2008-02-24~2008-03-01,10431930.457092216,3544446.308353668,2482948.9832704016,2600042.9756963896,1435813.7353235148,1476029.510026632,1057027.0990970521,11444361.237773962,1508903.876717336,1522730.3634606074,2070306.8736557048,1837529.444387039,1886075.5002189125,2641418.844358213,3175407.744339752,511248.7158473959
2008-03-02~2008-03-08,10431099.960252985,3544613.353400711,2483195.7182665532,2601485.578465756,1436050.5998261685,1476401.2188247035,1057632.5962902198,11447024.959150013,1509095.3876207205,1522979.825741306,2070224.7827974674,1837838.5973259744,1886301.3778142063,2641841.992244657,3176336.4237408377,511644.39903781586
2008-03-09~2008-03-15,10430371.674095383,3544758.2536119656,2483410.579929754,2602745.4518898437,1436257.2416823008,1476725.3313206437,1058161.0614814223,11449357.943498593,1509262.56109108,1523197.7716568531,2070153.4808756972,1838108.0523207015,1886498.1980074064,2642211.0428535803,3177147.195899541,511990.3178290021
2008-03-16~2008-03-22,10429641.893276058,3544901.973898639,2483624.478898418,2604003.081581431,1436463.3099269888,1477048.3866277032,1058688.27147666,11451693.00744874,1509429.3625626778,1523415.406231007,2070082.6713611686,1838376.5237437107,1886694.2503447698,2642578.9699235694,3177956.267228814,512335.9528864525
2008-03-23~2008-03-29,10428910.617795011,3545044.5142607316,2483837.4151725457,2605258.467540518,1436668.804560233,1477370.3847458821,1059214.226275933,11454030.151000455,1509595.792035514,1523632.7294637677,2070012.354253882,1838644.0115950014,1886889.5348262966,2642945.7734546247,3178763.6377286557,512681.304210167
2008-03-30~2008-04-05,10428177.847652242,3545185.874698243,2484049.3887521364,2606511.609767104,1436873.725582033,1477691.3256751804,1059738.9258792412,11456369.374153735,1509761.8495095884,1523849.741355135,2069942.529553837,1838910.515874574,1887084.0514519871,2643311.4534467454,3179569.3073990676,513026.37180014566
2008-04-06~2008-04-12,10427548.569329722,3545306.101663893,2484230.314165522,2607583.945847698,1437048.9156242632,1477965.5764642453,1060187.6693628398,11458376.077763915,1509903.8884067195,1524035.5037454024,2069883.0717269091,1839138.1652714112,1887250.1688377291,2643623.9991947175,3180258.527680894,513321.9181912355
2008-04-13~2008-04-19,10426813.023386609,3545445.2708128975,2484440.4998838305,2608832.9211424976,1437252.771367667,1478284.554042765,1060710.037887928,11460719.16303439,1510069.2550259507,1524251.9374313254,2069814.1614974558,1839402.8429177923,1887443.2594454372,2643987.592614532,3181061.0386680774,513666.45884713327
2008-04-20~2008-04-26,10426075.982781775,3545583.2600373207,2484649.722907603,2610079.6527047963,1437456.053499627,1478602.4744324042,1061231.1512170518,11463064.327906433,1510234.2496464204,1524468.0597758552,2069745.7436752443,1839666.5369924554,1887635.5821973088,2644350.0624954123,3181861.848825831,514010.7157692952
2008-04-27~2008-05-03,10425337.447515218,3545720.0693371636,2484857.983236838,2611324.1405345947,1437658.762020143,1478919.3376331625,1061751.0093502107,11465411.572380042,1510398.872268128,1524683.8707789918,2069677.8182602744,1839929.2474953998,1887827.1370933438,2644711.408837358,3182660.9581541535,514354.6889577212
2008-05-04~2008-05-10,10424597.41758694,3545855.698712425,2485065.280871537,2612566.384631892,1437860.8969292147,1479235.1436450405,1062269.6122874047,11467760.896455217,1510563.1228910743,1524899.370440735,2069610.3852525463,1840190.9744266262,1888017.924133542,2645071.63164037,3183458.3666530456,514698.3784124114
2008-05-11~2008-05-17,10423855.892996937,3545990.148163106,2485271.615811699,2613806.3849966894,1438062.4582268426,1479549.8924680375,1062786.9600286342,11470112.300131958,1510727.0015152586,1525114.5587610852,2069543.4446520598,1840451.7177861342,1888207.943317904,2645430.7309044474,3184254.0743225073,515041.78413336567
2008-05-18~2008-05-24,10423112.873745212,3546123.4176892056,2485476.988057325,2615044.141628986,1438263.4459130263,1479863.5841021538,1063303.052573899,11472465.783410266,1510890.5081406813,1525329.4357400422,2069476.9964588152,1840711.4775739238,1888397.194646429,2645788.706629591,3185048.0811625384,515384.9061205841
2008-05-25~2008-05-31,10422368.359831765,3546255.5072907247,2485681.397608414,2616279.6545287822,1438463.8599877662,1480176.2185473896,1063817.8899231993,11474821.346290141,1511053.6427673423,1525544.0013776058,2069411.0406728121,1840970.253789995,1888585.6781191176,2646145.5588158,3185840.387173139,515727.74437406665
2008-06-01~2008-06-07,10421729.015420092,3546367.7878255234,2485855.839568798,2617336.8797578416,1438635.1869325163,1480443.3494929725,1064258.1800462194,11476842.05538026,1511193.1763666903,1525727.6669788987,2069354.8990579203,1841191.279132403,1888746.6242308584,2646450.537872991,3186518.1528894133,516021.3799053028
2008-06-08~2008-06-14,10420981.725706303,3546497.6861385354,2486058.4612586047,2618568.225725851,1438834.53572886,1480754.0205874296,1064770.6863172995,11479201.48037733,1511355.6201385083,1525941.654411018,2069289.857742509,1841448.228715283,1888933.6816855648,2646805.303486894,3187307.3002167856,516363.6912247045
2008-06-15~2008-06-21,10420232.941330792,3546626.404526966,2486260.120253875,2619797.3279613596,1439033.3109137597,1481063.6344930064,1065281.9373924148,11481562.984975968,1511517.6919115644,1526155.3305017438,2069225.3088343397,1841704.1947264448,1889119.9712844347,2647158.945561863,3188094.746714728,516705.7188103703
2008-06-22~2008-06-28,10419482.662293557,3546753.9429908157,2486460.8165546088,2621024.186464368,1439231.5124872155,1481372.1912097023,1065791.9332715655,11483926.56917617,1511679.3916858588,1526368.6952510765,2069161.252333412,1841959.1771658882,1889305.493027468,2647511.4640978975,3188880.4923832393,517047.46266230027
2008-06-29~2008-07-05,10418730.888594601,3546880.301530085,2486660.5501608057,2622248.8012348753,1439429.140449227,1481679.6907375176,1066300.6739547513,11486292.23297794,1511840.7194613914,1526581.748659016,2069097.6882397258,1842213.1760336135,1889490.2469146647,2647862.8590949974,3189664.5372223207,517388.9227804943
2008-07-06~2008-07-12,10417977.620233921,3547005.480144773,2486859.321072466,2623471.1722728824,1439626.1947997946,1481986.1330764522,1066808.1594419726,11488659.976381276,1512001.6752381625,1526794.4907255624,2069034.6165532814,1842466.1913296203,1889674.2329460247,2648213.1305531636,3190446.881231971,517730.0991649526
2008-07-13~2008-07-19,10417222.857211519,3547129.47883488,2487057.1292895903,2624691.299578389,1439822.6755389182,1482291.5182265062,1067314.3897332293,11491029.799386177,1512162.2590161718,1527006.9214507157,2068972.0372740787,1842718.223053909,1889857.4511215484,2648562.2784723956,3191227.524412191,518070.99181567493
2008-07-20~2008-07-26,10416466.599527394,3547252.2976004067,2487253.9748121775,2625909.183151395,1440018.5826665976,1482595.8461876796,1067819.3648285214,11493401.701992648,1512322.4707954193,1527219.0408344755,2068909.9504021178,1842969.2712064793,1890039.9014412353,2648910.3028526935,3192006.466762981,518411.60073266143
2008-07-27~2008-08-02,10415708.847181547,3547373.936441352,2487449.8576402282,2627124.8229919,1440213.9161828333,1482899.116959972,1068323.0847278486,11495775.684200682,1512482.3105759053,1527430.8488768423,2068848.3559373985,1843219.3357873312,1890221.5839050857,2649257.2036940567,3192783.70828434,518751.9259159121
2008-08-03~2008-08-09,10415058.155542104,3547477.2591813733,2487616.990980865,2628165.014170139,1440380.888363151,1483158.221900175,1068753.8456080346,11497812.181286369,1512619.0200213888,1527612.150825109,2068795.9525978928,1843432.8940138365,1890376.7005806793,2649553.6530270944,3193448.5615812642,519043.4073869494
2008-08-10~2008-08-16,10414297.627395913,3547596.7067338116,2487811.0859476337,2629376.4870788576,1440575.1566009906,1483459.5293216892,1069255.234429142,11500190.0256116,1512778.1689470315,1527823.3806620312,2068735.2726037654,1843681.1319614972,1890556.9570265475,2649898.4672961514,3194222.6444193954,519383.2056361191
