Week_Num,datetime,Article_Num,Polution,Enviroment_Polution,Biodiversity_Loss,Acid_Rain,Water_Pollution,Climate_Crisis,Accelerated_Global_Warming,Ozone_Layer_Depletion,Hazardous_Substance_Leakage,Carbon_Dioxide,Weekly_News_Count,News_Ratio,tempmax,tempmin,temp,dew,humidity,precip,windspeed,sealevelpressure,moonphase,abnormal_weather_count
11,2000-03-12,24,2.772689362523356,-0.43538097428052697,-0.32080703368038826,-0.09165915248011092,-0.43538097428052697,-0.43538097428052697,-0.43538097428052697,-0.43538097428052697,-0.43538097428052697,0.25206266932030513,29724,0.0008074283407347,46.385714285714286,24.057142857142857,35.44285714285714,21.32857142857143,58.62857142857143,0.0115714285714285,12.714285714285714,1020.8,0.1042857142857142,0.0
12,2000-03-19,15,2.757435090054174,-0.3939192985791677,-0.3939192985791677,0.3939192985791677,-0.3939192985791677,-0.3939192985791677,-0.3939192985791677,-0.3939192985791677,-0.3939192985791677,-0.3939192985791677,29724,0.0005046427129592,55.34285714285714,35.028571428571425,44.885714285714286,28.042857142857144,54.72857142857144,0.0034285714285714,11.814285714285717,1017.2857142857144,0.3542857142857142,0.0
13,2000-03-26,12,2.817096446461137,-0.38414951542651876,-0.38414951542651876,-0.17073311796734167,-0.38414951542651876,-0.38414951542651876,-0.38414951542651876,-0.38414951542651876,-0.38414951542651876,0.0426832794918354,30657,0.0003914277326548,56.21428571428572,37.74285714285714,45.84285714285714,28.25714285714286,52.48571428571428,0.007,13.842857142857143,1018.1714285714286,0.5942857142857143,0.0
14,2000-04-02,12,2.8348537457366856,-0.36234972689867406,-0.36234972689867406,-0.14920282872298343,-0.36234972689867406,-0.36234972689867406,-0.36234972689867406,-0.14920282872298343,-0.36234972689867406,-0.36234972689867406,32991,0.0003637355642447,62.04285714285714,42.0,51.41428571428571,30.77142857142857,47.55714285714286,0.0061428571428571,14.714285714285714,1012.3,0.8185714285714286,0.0
15,2000-04-09,13,2.561296734830899,-0.46569031542379974,-0.46569031542379974,-0.23284515771189987,-0.46569031542379974,-0.46569031542379974,-0.46569031542379974,-0.46569031542379974,-0.46569031542379974,0.9313806308475995,32991,0.0003940468612651,63.67142857142858,41.6,51.91428571428571,30.82857142857143,46.54285714285714,0.0037142857142857,12.4,1017.7571428571428,0.3342857142857142,0.0
16,2000-04-16,34,2.670152641273786,-0.48357095078186674,-0.48357095078186674,0.042049647894075406,-0.3784468310466783,-0.48357095078186674,-0.48357095078186674,-0.48357095078186674,-0.48357095078186674,0.5676702465700175,32991,0.0010305840986935,62.25714285714286,41.8,51.92857142857143,34.714285714285715,54.371428571428574,0.0368571428571428,15.085714285714284,1010.8,0.3028571428571429,0.0
17,2000-04-23,25,2.8308185803026062,-0.3683941988065036,-0.3683941988065036,-0.0775566734329481,-0.3683941988065036,-0.3683941988065036,-0.3683941988065036,-0.3683941988065036,-0.3683941988065036,-0.17450251522413326,32991,0.0007577824255099,62.957142857142856,45.3,54.25714285714286,42.471428571428575,66.78571428571429,0.0665714285714285,13.271428571428572,1009.9285714285714,0.5414285714285715,0.0
18,2000-04-30,17,2.7736424826686026,-0.4202488610103944,-0.4202488610103944,-0.08404977220207888,-0.4202488610103944,-0.4202488610103944,-0.4202488610103944,-0.4202488610103944,-0.4202488610103944,0.25214931660623663,32991,0.0005152920493467,63.31428571428571,45.885714285714286,54.65714285714286,41.614285714285714,65.18571428571428,0.0479999999999999,10.714285714285714,1009.5,0.7685714285714286,0.0
19,2000-05-07,19,2.8026813381269196,-0.4043669592322421,-0.4043669592322421,0.01394368824938767,-0.4043669592322421,-0.4043669592322421,-0.4043669592322421,-0.4043669592322421,-0.4043669592322421,0.01394368824938767,32991,0.0005759146433875,70.51428571428572,47.871428571428574,59.18571428571429,44.1,60.12857142857143,0.0294285714285714,11.828571428571427,1012.9428571428572,0.4285714285714285,0.0
20,2000-05-14,24,2.6886995069841584,-0.31543402037244317,-0.46564069674027325,0.5858060378345373,-0.46564069674027325,-0.46564069674027325,-0.46564069674027325,-0.46564069674027325,-0.46564069674027325,-0.1652273440046131,32991,0.0007274711284895,72.04285714285714,52.35714285714285,61.3,48.7,66.61428571428571,0.1425714285714285,10.385714285714286,1009.6142857142858,0.2471428571428571,0.0
21,2000-05-21,31,2.8339584514091247,-0.3628849236560465,-0.3628849236560465,-0.10368140675887044,-0.3628849236560465,-0.3628849236560465,-0.3628849236560465,-0.3628849236560465,-0.3628849236560465,-0.19008257905792914,32991,0.0009396502076323,71.68571428571428,55.1,61.82857142857143,53.22857142857144,74.72857142857143,0.1675714285714285,8.942857142857143,1009.6285714285714,0.4928571428571429,0.0
