datetime,TotalEmissions,NetEmissions,EnergyTotal,EnergyCombustionFuel,EnergyFugitive,IndustrialProcesses,Agriculture,LandUseChangeForestry,Waste
2017-10-29,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-11-05,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-11-12,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-11-19,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-11-26,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-12-03,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-12-10,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-12-17,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-12-24,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2017-12-31,13.64273076923077,12.840788461538462,11.815807692307693,11.739326923076923,0.07646153846153846,1.085653846153846,0.4030384615384615,-0.8019423076923077,0.33825
2018-01-07,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-01-14,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-01-21,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-01-28,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-02-04,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-02-11,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-02-18,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-02-25,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-03-04,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-03-11,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-03-18,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-03-25,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-04-01,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
2018-04-08,13.942826923076924,13.167,12.128442307692307,12.04330769230769,0.08513461538461538,1.073,0.40646153846153843,-0.7758461538461539,0.33492307692307693
