datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,sealevelpressure,moonphase
2018-09-02,82.92857142857143,70.92857142857143,76.57142857142857,68.45714285714286,77.87142857142858,1.0832857142857144,9.94285714285714,1010.4571428571428,0.6271428571428571
2018-09-09,81.64285714285714,65.18571428571428,72.95714285714286,60.55714285714286,67.52857142857142,0.2118571428571428,10.914285714285716,1006.0,0.87
2018-09-16,79.61428571428571,65.25714285714285,72.31428571428572,60.128571428571426,67.2,0.0437142857142857,7.6,1017.6,0.1071428571428571
2018-09-23,76.42857142857143,62.285714285714285,69.07142857142857,58.24285714285714,70.88571428571429,0.1645714285714286,8.371428571428572,1014.3142857142856,0.3385714285714286
2018-09-30,74.17142857142858,54.67142857142857,64.27142857142857,48.142857142857146,58.42857142857143,0.0,8.842857142857143,1016.8714285714286,0.5728571428571428
2018-10-07,71.51428571428572,54.371428571428574,62.24285714285715,50.55714285714286,68.42857142857143,0.6542857142857142,10.12857142857143,1016.0714285714286,0.8214285714285714
2018-10-14,64.81428571428572,44.228571428571435,54.17142857142857,39.2,60.0,0.0384285714285714,8.3,1021.6142857142858,0.2057142857142857
2018-10-21,67.82857142857142,44.41428571428571,55.0,41.57142857142857,64.51428571428572,0.0002857142857142,7.457142857142857,1021.2428571428572,0.2871428571428571
2018-10-28,61.91428571428571,43.214285714285715,52.7,41.34285714285714,67.82857142857144,0.2154285714285714,9.3,1016.842857142857,0.5157142857142857
2018-11-04,59.2,35.728571428571435,46.98571428571428,32.9,61.528571428571425,0.0092857142857142,8.0,1023.2,0.7628571428571428
2018-11-11,60.01428571428572,45.857142857142854,52.628571428571426,44.75714285714286,76.25714285714285,0.4427142857142856,8.685714285714285,1021.5285714285714,0.4385714285714285
2018-11-18,56.7,35.971428571428575,45.34285714285714,31.97142857142857,61.98571428571428,0.0,6.371428571428572,1022.3714285714286,0.2414285714285714
2018-11-25,47.65714285714286,30.642857142857142,39.628571428571426,23.585714285714285,56.84285714285715,0.0687142857142857,9.0,1025.2,0.4657142857142857
2018-12-02,51.41428571428571,30.614285714285717,40.51428571428572,24.571428571428573,56.628571428571426,0.0,6.314285714285715,1025.571428571429,0.71
2018-12-09,38.98571428571428,25.9,32.285714285714285,15.3,52.15714285714286,0.0981428571428571,11.414285714285716,1027.0571428571427,0.53
2018-12-16,36.48571428571429,20.02857142857143,27.82857142857143,11.37142857142857,52.34285714285714,0.0198571428571428,7.828571428571428,1030.5142857142855,0.1885714285714285
2018-12-23,48.08571428571429,27.0,37.357142857142854,21.942857142857143,56.6,0.0015714285714285,7.7,1022.0285714285714,0.4142857142857142
2018-12-30,30.214285714285715,15.071428571428571,22.285714285714285,-0.2000000000000002,39.371428571428574,0.0,9.742857142857144,1030.571428571429,0.6571428571428571
2019-01-06,34.18571428571429,14.485714285714286,24.02857142857143,6.671428571428571,50.34285714285714,0.0,7.928571428571429,1032.7142857142858,0.7542857142857143
2019-01-13,39.285714285714285,20.67142857142857,29.75714285714286,12.342857142857143,50.98571428571428,0.0,7.885714285714286,1027.3285714285714,0.1342857142857142
2019-01-20,39.42857142857143,20.314285714285713,30.4,14.87142857142857,55.74285714285714,0.0,9.414285714285716,1024.8428571428572,0.3614285714285715
2019-01-27,40.67142857142857,18.87142857142857,30.25714285714286,11.028571428571428,48.41428571428571,0.0,10.971428571428572,1023.8,0.5985714285714286
2019-02-03,40.728571428571435,23.014285714285712,32.57142857142857,15.6,53.542857142857144,0.0924285714285714,9.542857142857144,1022.4,0.84
2019-02-10,37.785714285714285,20.471428571428568,29.228571428571428,7.914285714285714,42.81428571428571,0.0405714285714285,9.771428571428572,1024.4,0.2171428571428571
2019-02-17,36.871428571428574,21.25714285714286,29.271428571428572,9.05714285714286,45.58571428571429,0.0108571428571428,8.542857142857143,1029.1714285714286,0.3085714285714286
2019-02-24,47.17142857142857,28.514285714285712,37.25714285714286,23.3,60.91428571428571,0.056,6.2,1023.4714285714286,0.5471428571428572
2019-03-03,54.9,31.442857142857147,43.271428571428565,22.642857142857142,47.65714285714286,0.0,7.371428571428572,1020.0285714285714,0.7871428571428571
2019-03-10,56.385714285714286,36.57142857142857,46.142857142857146,26.32857142857143,50.12857142857143,0.0,7.285714285714286,1018.4142857142858,0.4442857142857143
2019-03-17,48.94285714285714,32.457142857142856,41.25714285714286,25.985714285714288,58.44285714285714,0.0598571428571428,9.742857142857144,1017.4857142857144,0.2557142857142857
2019-03-24,53.371428571428574,33.98571428571429,43.81428571428571,28.5,58.05714285714286,0.216,7.871428571428572,1016.7285714285716,0.5
2019-03-31,55.08571428571428,40.857142857142854,47.471428571428575,31.085714285714285,56.142857142857146,0.0225714285714285,8.814285714285715,1015.0571428571428,0.7342857142857142
2019-04-07,57.771428571428565,36.81428571428571,47.9,25.271428571428572,45.17142857142857,0.0042857142857142,7.571428571428571,1016.8714285714286,0.5328571428571428
2019-04-14,58.94285714285714,41.528571428571425,50.271428571428565,30.1,51.44285714285714,0.225,8.985714285714286,1015.7857142857144,0.1999999999999999
2019-04-21,66.67142857142858,46.15714285714286,56.55714285714286,38.81428571428571,56.9,0.0455714285714285,7.514285714285714,1014.9142857142856,0.4528571428571428
2019-04-28,68.02857142857142,50.2,59.02857142857143,46.05714285714286,65.31428571428572,0.1599999999999999,6.4,1013.4857142857144,0.6842857142857143
2019-05-05,74.39999999999999,48.9,61.75714285714286,39.871428571428574,48.48571428571428,0.0,7.7,1012.9714285714286,0.7642857142857142
2019-05-12,74.68571428571428,50.214285714285715,62.8,38.4,43.357142857142854,0.0,7.257142857142857,1013.8,0.1485714285714285
2019-05-19,78.61428571428571,60.42857142857143,69.7,52.228571428571435,56.857142857142854,0.0828571428571428,9.328571428571427,1012.2,0.3999999999999999
2019-05-26,80.97142857142856,57.628571428571426,69.68571428571428,49.771428571428565,53.01428571428572,0.1375714285714285,9.328571428571427,1008.8857142857142,0.6357142857142858
2019-06-02,76.27142857142857,57.2,67.08571428571429,49.385714285714286,56.25714285714286,0.0639999999999999,7.6,1009.0142857142856,0.86
2019-06-09,80.52857142857144,62.4,71.58571428571429,58.24285714285714,65.0,0.3905714285714285,7.471428571428571,1007.7285714285716,0.0985714285714285
2019-06-16,79.08571428571429,62.285714285714285,70.85714285714286,55.94285714285714,60.971428571428575,0.1258571428571428,6.714285714285714,1006.657142857143,0.35
2019-06-23,80.38571428571429,65.92857142857143,72.92857142857143,59.4,64.82857142857144,0.1158571428571428,6.357142857142857,1008.0,0.59
2019-06-30,84.77142857142857,69.71428571428571,76.78571428571429,63.1,64.45714285714286,0.0225714285714285,6.085714285714286,1004.9,0.8157142857142857
2019-07-07,88.0,70.51428571428572,78.81428571428572,61.82857142857143,58.857142857142854,0.0011428571428571,7.242857142857143,1005.8,0.3328571428571428
2019-07-14,83.64285714285714,69.25714285714285,75.74285714285715,62.18571428571429,64.45714285714286,0.1105714285714285,7.914285714285714,1005.1142857142858,0.3
2019-07-21,86.42857142857143,73.67142857142858,79.67142857142858,70.24285714285715,74.34285714285714,0.1485714285714285,6.314285714285715,1006.3,0.5385714285714286
2019-07-28,85.62857142857142,77.18571428571428,80.87142857142858,75.12857142857142,83.48571428571428,0.8742857142857142,5.771428571428571,1005.0571428571428,0.7671428571428571
2019-08-04,89.52857142857144,77.3,82.68571428571428,75.34285714285714,79.62857142857142,1.037,6.942857142857143,1009.7857142857144,0.4285714285714285
2019-08-11,93.92857142857144,79.08571428571429,86.22857142857143,73.58571428571429,67.95714285714286,0.1154285714285714,7.114285714285714,1006.1714285714286,0.2442857142857142
2019-08-18,87.44285714285715,75.15714285714286,80.85714285714286,72.88571428571429,78.17142857142858,0.8012857142857143,8.314285714285715,999.8142857142856,0.4871428571428571
2019-08-25,87.1857142857143,71.2,78.62857142857142,66.8,68.95714285714286,0.007,7.957142857142857,1009.4285714285714,0.72
2019-09-01,83.18571428571428,68.67142857142856,75.82857142857142,65.7,72.5,0.5037142857142858,8.328571428571427,1010.2142857142856,0.53
2019-09-08,82.54285714285713,71.07142857142857,75.91428571428571,69.05714285714285,80.64285714285714,0.517,12.442857142857145,1010.4714285714286,0.1942857142857142
2019-09-15,80.11428571428571,68.51428571428572,74.10000000000001,66.7,79.21428571428571,0.5508571428571429,7.4,1012.9,0.43
2019-09-22,77.08571428571429,61.371428571428574,69.0,54.41428571428571,61.971428571428575,0.0308571428571428,10.028571428571428,1015.9285714285714,0.6657142857142857
2019-09-29,80.75714285714285,60.68571428571429,70.17142857142856,57.55714285714286,67.0,0.0014285714285714,7.814285714285715,1019.4142857142856,0.7657142857142858
2019-10-06,78.88571428571429,61.75714285714286,69.9,61.2,75.64285714285714,0.1847142857142857,9.0,1014.9428571428572,0.1442857142857143
2019-10-13,70.52857142857144,51.98571428571428,60.557142857142864,48.08571428571429,66.94285714285715,0.212,9.4,1018.5142857142856,0.3771428571428571
2019-10-20,69.87142857142858,49.371428571428574,59.07142857142857,47.614285714285714,68.42857142857143,0.0,8.214285714285714,1024.2142857142858,0.6114285714285714
2019-10-27,69.25714285714285,49.67142857142857,59.34285714285714,46.32857142857143,64.27142857142857,0.0,7.785714285714286,1018.7714285714284,0.8571428571428571
2019-11-03,66.32857142857144,46.15714285714286,56.114285714285714,44.25714285714286,66.95714285714286,0.0127142857142857,8.185714285714285,1019.342857142857,0.0957142857142857
2019-11-10,60.8,42.07142857142857,50.714285714285715,33.957142857142856,56.142857142857146,0.0702857142857142,7.571428571428571,1018.9285714285714,0.3271428571428571
2019-11-17,52.44285714285714,39.07142857142857,45.55714285714286,35.957142857142856,72.18571428571428,0.4161428571428572,9.228571428571428,1018.6714285714286,0.5585714285714286
2019-11-24,53.82857142857143,33.6,43.25714285714286,26.414285714285715,53.9,0.2661428571428571,9.357142857142858,1025.7,0.8014285714285715
2019-12-01,46.8,31.7,39.15714285714286,26.014285714285712,60.97142857142857,0.0388571428571428,7.442857142857143,1028.571428571429,0.33
2019-12-08,37.42857142857143,21.785714285714285,30.057142857142857,14.62857142857143,54.94285714285714,0.0158571428571428,6.171428571428572,1029.6142857142856,0.2742857142857143
2019-12-15,46.7,31.328571428571426,39.05714285714286,27.157142857142855,63.785714285714285,0.0201428571428571,7.6571428571428575,1024.5285714285717,0.4985714285714286
2019-12-22,43.385714285714286,29.52857142857143,36.91428571428571,25.657142857142855,65.60000000000001,0.0774285714285714,5.714285714285714,1023.8285714285714,0.7471428571428572
2019-12-29,42.042857142857144,28.67142857142857,35.27142857142857,23.885714285714283,65.08571428571429,0.0328571428571428,5.8999999999999995,1024.1714285714286,0.4228571428571429
2020-01-05,33.833333333333336,20.2,28.76666666666667,17.133333333333333,62.73333333333333,0.0193333333333333,8.433333333333334,1029.9,0.16
2020-01-05,40.279999999999994,24.9,32.519999999999996,20.4,62.6,0.0012,4.14,1029.1,0.254
2020-01-12,41.114285714285714,29.685714285714287,35.214285714285715,27.2,73.91428571428571,0.5458571428571428,8.0,1019.7428571428572,0.4457142857142857
2020-01-19,37.771428571428565,23.614285714285717,30.485714285714288,14.9,54.25714285714286,0.0035714285714285,6.371428571428572,1024.0285714285717,0.6928571428571428
2020-01-26,46.385714285714286,28.042857142857144,36.957142857142856,22.357142857142858,57.785714285714285,0.0021428571428571,6.214285714285714,1026.857142857143,0.65
2020-02-02,47.05714285714286,33.25714285714286,40.48571428571428,26.442857142857143,58.92857142857143,0.001,7.242857142857143,1019.7714285714284,0.1657142857142857
2020-02-09,35.4,21.1,28.1,10.714285714285714,49.32857142857143,0.046,8.799999999999999,1028.9142857142856,0.3971428571428572
2020-02-16,51.857142857142854,33.6,42.371428571428574,32.27142857142857,71.54285714285713,0.145,8.27142857142857,1019.9428571428572,0.6342857142857143
2020-02-23,43.471428571428575,26.457142857142856,34.8,22.714285714285715,63.05714285714286,0.0518571428571428,10.028571428571428,1027.3428571428572,0.8771428571428571
2020-03-01,50.9,37.01428571428572,43.5,34.22857142857143,71.51428571428572,0.2027142857142857,7.6,1021.8,0.1128571428571428
2020-03-08,50.08571428571429,31.557142857142857,40.18571428571429,24.385714285714283,55.92857142857143,0.0014285714285714,9.657142857142857,1022.0714285714286,0.3428571428571428
2020-03-15,51.542857142857144,34.84285714285714,43.1,25.5,53.642857142857146,0.0922857142857142,14.0,1015.8714285714286,0.5800000000000001
2020-03-22,57.81428571428571,38.228571428571435,48.08571428571429,29.857142857142858,53.58571428571429,0.0,8.985714285714286,1013.6714285714286,0.8242857142857142
2020-03-29,62.357142857142854,40.41428571428571,51.81428571428571,28.67142857142857,44.885714285714286,0.0334285714285714,7.6,1018.3,0.2028571428571428
2020-04-05,60.471428571428575,39.58571428571429,49.871428571428574,25.785714285714285,43.614285714285714,0.0,8.971428571428572,1019.5,0.2942857142857143
2020-04-12,59.457142857142856,40.028571428571425,49.91428571428571,31.071428571428573,51.628571428571426,0.0,9.328571428571427,1019.3,0.5328571428571428
2020-04-19,66.22857142857143,45.55714285714286,55.67142857142857,37.57142857142857,55.34285714285714,0.156,8.542857142857143,1014.9428571428572,0.7699999999999999
2020-04-26,56.728571428571435,43.18571428571429,50.34285714285714,32.31428571428571,52.05714285714286,0.0401428571428571,12.37142857142857,1013.6857142857144,0.4314285714285714
2020-05-03,72.9,53.3,63.1,48.471428571428575,61.98571428571428,0.0,7.8,1014.8857142857142,0.24
2020-05-10,72.55714285714285,56.31428571428571,64.42857142857143,48.0,62.285714285714285,0.229,8.657142857142857,1010.8857142857142,0.4871428571428571
2020-05-17,71.52857142857142,55.07142857142857,62.714285714285715,49.7,67.58571428571429,0.1364285714285714,10.4,1009.3285714285714,0.7228571428571428
2020-05-24,71.54285714285713,55.67142857142857,63.385714285714286,53.05714285714286,70.74285714285715,0.516,11.157142857142857,1008.2142857142856,0.66
2020-05-31,76.62857142857142,57.5,66.45714285714286,55.15714285714286,69.81428571428572,0.0752857142857142,8.942857142857141,1011.8857142857142,0.19
2020-06-07,80.77142857142857,64.35714285714286,71.24285714285715,60.771428571428565,71.77142857142857,0.0252857142857142,10.885714285714286,1007.3285714285712,0.4371428571428571
2020-06-14,87.75714285714285,69.0,77.94285714285715,64.28571428571429,65.41428571428571,0.0644285714285714,10.171428571428573,1007.8142857142856,0.6742857142857143
2020-06-21,85.18571428571428,67.04285714285714,75.60000000000001,61.471428571428575,63.34285714285714,0.0005714285714285,9.328571428571427,1006.2571428571428,0.7557142857142857
2020-06-28,83.75714285714285,69.68571428571428,75.94285714285715,65.18571428571428,72.05714285714286,0.4022857142857142,10.157142857142857,1005.2142857142856,0.1385714285714285
2020-07-05,80.8,67.14285714285714,73.78571428571429,63.74285714285714,72.78571428571429,0.4521428571428571,8.871428571428572,1004.5714285714286,0.39
2020-07-12,84.52857142857144,71.8,77.74285714285715,65.62857142857142,67.44285714285715,0.032,7.242857142857143,1004.2571428571428,0.6257142857142857
2020-07-19,81.37142857142858,67.6,74.18571428571428,65.14285714285714,74.88571428571429,0.7902857142857143,7.8428571428571425,1005.5714285714286,0.8514285714285714
2020-07-26,80.7,70.4,75.28571428571429,67.52857142857142,77.95714285714287,0.9031428571428572,9.457142857142856,1005.7,0.2271428571428571
2020-08-02,81.05714285714285,73.84285714285714,77.01428571428572,73.27142857142857,88.57142857142857,1.0642857142857145,6.114285714285714,1010.6285714285714,0.3399999999999999
2020-08-09,81.37142857142858,74.84285714285714,77.89999999999999,74.48571428571428,89.55714285714285,2.0824285714285713,8.071428571428571,1006.3714285714286,0.5771428571428572
2020-08-16,85.55714285714285,76.95714285714287,80.60000000000001,76.15714285714286,86.94285714285715,1.751,6.428571428571429,1008.0857142857144,0.8028571428571428
2020-08-23,87.58571428571429,74.7,80.35714285714286,72.9,79.17142857142858,0.4025714285714286,5.857142857142857,1011.9428571428572,0.3242857142857143
2020-08-30,88.57142857142857,77.2,82.54285714285713,75.18571428571428,79.81428571428572,0.5098571428571429,8.314285714285715,1005.4285714285714,0.2828571428571428
2020-09-06,81.10000000000001,70.52857142857142,75.62857142857142,67.02857142857142,75.89999999999999,0.4774285714285714,10.385714285714286,1008.0571428571428,0.53
2020-09-13,77.35714285714286,65.54285714285713,71.04285714285714,63.128571428571426,77.5,0.7012857142857143,7.957142857142857,1009.2142857142856,0.7571428571428571
2020-09-20,77.72857142857143,64.34285714285714,70.87142857142858,59.08571428571429,69.0,0.0147142857142857,6.042857142857143,1012.8,0.42
2020-09-27,76.67142857142858,59.628571428571426,67.8,52.07142857142857,58.41428571428571,0.0054285714285714,7.9,1016.9857142857144,0.2357142857142857
2020-10-04,74.22857142857143,59.34285714285714,66.72857142857143,56.9,72.41428571428573,0.2845714285714285,7.1571428571428575,1013.4,0.4714285714285714
2020-10-11,69.62857142857142,50.385714285714286,60.614285714285714,43.68571428571429,55.81428571428573,0.0,7.085714285714286,1021.8,0.7057142857142857
2020-10-18,65.17142857142856,46.971428571428575,55.65714285714286,39.81428571428571,59.0,0.0,6.271428571428571,1022.4857142857144,0.6557142857142857
2020-10-25,63.68571428571427,45.4,54.01428571428572,40.542857142857144,63.67142857142858,0.0,7.071428571428571,1019.657142857143,0.1857142857142857
2020-11-01,63.6,44.528571428571425,54.385714285714286,40.15714285714286,63.285714285714285,0.0871428571428571,6.3428571428571425,1022.4142857142856,0.4185714285714285
2020-11-08,56.84285714285714,41.871428571428574,49.542857142857144,31.82857142857143,54.857142857142854,0.0567142857142857,7.628571428571428,1022.3857142857142,0.6528571428571429
2020-11-15,59.17142857142857,38.81428571428571,48.4,34.65714285714286,62.84285714285714,0.0,5.771428571428571,1028.7571428571428,0.7514285714285714
2020-11-22,59.114285714285714,42.34285714285714,50.94285714285714,43.84285714285714,77.74285714285715,0.857,6.8428571428571425,1019.9142857142856,0.1314285714285714
2020-11-29,43.857142857142854,31.428571428571427,37.32857142857143,23.1,57.67142857142857,0.0012857142857142,6.1000000000000005,1027.9428571428573,0.36
2020-12-06,42.25714285714286,27.314285714285713,34.81428571428571,17.9,52.01428571428572,0.0,6.328571428571428,1031.3142857142857,0.5985714285714286
2020-12-13,43.114285714285714,29.228571428571428,36.67142857142857,23.785714285714285,61.7,0.0185714285714285,6.457142857142857,1023.4714285714286,0.84
2020-12-20,28.67142857142857,15.771428571428572,22.642857142857142,3.4428571428571426,44.542857142857144,0.0064285714285714,7.885714285714285,1030.9571428571428,0.22
2020-12-27,44.1,27.085714285714285,35.142857142857146,24.014285714285712,65.67142857142856,0.0,6.514285714285714,1023.657142857143,0.3071428571428571
2021-01-03,32.371428571428574,17.900000000000002,25.585714285714285,10.87142857142857,55.51428571428572,0.009,6.514285714285714,1026.1714285714286,0.5357142857142857
2021-01-10,23.071428571428573,7.6,15.542857142857144,-0.9714285714285716,49.24285714285714,0.1515714285714285,7.185714285714285,1027.2571428571428,0.7828571428571429
2021-01-17,37.05714285714286,19.057142857142857,28.157142857142855,17.3,65.97142857142858,0.0367142857142857,6.3,1021.5714285714286,0.3142857142857143
2021-01-24,43.84285714285714,27.37142857142857,34.92857142857143,22.0,63.214285714285715,0.1401428571428571,7.357142857142857,1024.6285714285714,0.2542857142857143
2021-01-31,41.92857142857143,23.942857142857143,33.08571428571428,18.571428571428573,58.48571428571428,0.0492857142857142,8.22857142857143,1023.6857142857144,0.4785714285714286
2021-02-07,40.7,25.47142857142857,33.871428571428574,21.62857142857143,63.31428571428571,0.0278571428571428,7.957142857142857,1021.8,0.7242857142857143
2021-02-14,48.2,28.071428571428573,37.885714285714286,23.4,59.8,0.0,5.685714285714285,1024.6714285714286,0.5428571428571428
2021-02-21,42.84285714285714,23.8,32.95714285714286,17.657142857142855,55.44285714285714,0.0544285714285714,10.571428571428571,1015.1857142857144,0.2014285714285714
2021-02-28,51.528571428571425,31.657142857142855,41.92857142857143,18.11428571428571,41.05714285714286,0.0,7.471428571428571,1023.9,0.43
2021-03-07,51.24285714285714,33.9,42.08571428571429,32.31428571428572,70.91428571428571,0.6851428571428572,7.785714285714286,1024.2571428571428,0.6714285714285715
2021-03-14,57.55714285714286,36.81428571428571,47.0,33.114285714285714,62.07142857142857,0.0,6.185714285714285,1024.357142857143,0.6328571428571428
2021-03-21,59.15714285714286,41.642857142857146,50.042857142857144,34.4,58.457142857142856,0.0695714285714285,7.714285714285714,1016.7,0.1542857142857143
