주차,기간,기사 갯수,오염,환경 오염,생물 멸종,산성비,수질 오염,기후 위기,온난화 가속화,오존층 파괴,유해 물질 누출,이산화탄소,주간 뉴스 수,뉴스 비율
58,20010205 - 20010211,13,12,0,0,0,0,0,1,1,0,0,36968,0.00035165548582557886
59,20010212 - 20010218,15,17,0,0,0,1,0,0,0,0,1,36968,0.00040575632979874486
60,20010219 - 20010225,9,7,0,0,1,0,0,0,0,0,3,36968,0.0002434537978792469
61,20010226 - 20010304,13,11,0,0,5,0,0,0,0,0,2,36968,0.00035165548582557886
62,20010305 - 20010311,16,18,0,0,0,1,0,0,0,0,3,36968,0.00043280675178532783
63,20010312 - 20010318,17,15,0,0,1,0,0,0,0,0,6,36968,0.00045985717377191085
64,20010319 - 20010325,25,25,0,0,5,0,0,0,0,0,5,36968,0.0006762605496645747
65,20010326 - 20010401,40,34,0,0,4,1,0,0,0,0,18,36822,0.001086307099016892
66,20010402 - 20010408,31,35,0,0,0,1,0,0,0,0,15,35945,0.0008624287105299764
67,20010409 - 20010415,21,23,0,0,2,1,0,0,1,0,4,35945,0.0005842259006815969
68,20010416 - 20010422,23,17,0,0,0,0,0,0,0,0,13,35945,0.0006398664626512728
69,20010423 - 20010429,21,29,0,0,2,0,0,0,0,0,2,35945,0.0005842259006815969
70,20010430 - 20010506,22,30,0,0,2,0,0,0,0,0,2,35945,0.0006120461816664348
71,20010507 - 20010513,9,12,0,0,1,0,0,0,0,0,0,35945,0.0002503825288635415
72,20010514 - 20010520,30,25,0,0,1,0,0,0,0,0,20,35945,0.0008346084295451384
73,20010521 - 20010527,32,37,0,0,1,0,0,0,0,0,4,35945,0.0008902489915148143
74,20010528 - 20010603,17,20,0,0,3,0,0,0,0,0,2,35945,0.0004729447767422451
75,20010604 - 20010610,27,31,0,0,2,0,0,0,0,0,7,35945,0.0007511475865906246
76,20010611 - 20010617,13,7,0,0,2,0,0,0,0,0,6,35945,0.0003616636528028933
77,20010618 - 20010624,13,14,0,0,0,0,0,0,0,0,3,35945,0.0003616636528028933
78,20010625 - 20010701,19,23,0,0,2,0,0,0,0,0,8,35819,0.0005304447360339484
79,20010702 - 20010708,28,24,1,0,2,0,0,0,0,0,10,35063,0.000798562587342783
80,20010709 - 20010715,14,17,0,0,1,0,0,0,0,0,1,35063,0.0003992812936713915
81,20010716 - 20010722,19,20,0,0,3,0,0,0,1,0,5,35063,0.0005418817556968884
82,20010723 - 20010729,24,11,0,0,1,0,0,0,0,0,14,35063,0.0006844822177223854
83,20010730 - 20010805,15,20,0,0,3,0,0,0,0,0,3,35063,0.0004278013860764909
84,20010806 - 20010812,23,21,0,0,3,0,0,0,0,0,5,35063,0.000655962125317286
85,20010813 - 20010819,18,24,0,0,0,0,0,0,0,0,4,35063,0.000513361663291789
86,20010820 - 20010826,17,19,0,0,2,0,0,0,0,0,6,35063,0.00048484157088668966
87,20010827 - 20010902,16,17,0,0,0,0,0,0,0,0,1,35063,0.00045632147848159027
88,20010903 - 20010909,31,39,0,0,2,1,0,0,0,0,5,35063,0.0008841228645580811
89,20010910 - 20010916,9,10,0,0,3,0,0,0,0,0,0,35063,0.0002566808316458945
90,20010917 - 20010923,11,10,0,0,0,1,0,0,0,0,3,35063,0.0003137210164560933
91,20010924 - 20010930,11,13,0,0,3,0,0,0,0,0,1,35063,0.0003137210164560933
92,20011001 - 20011007,5,5,0,0,0,0,0,0,0,0,2,35036,0.0001427103550633634
93,20011008 - 20011014,8,9,0,0,0,0,0,0,0,0,1,35036,0.00022833656810138144
94,20011015 - 20011021,12,11,0,0,2,0,0,0,0,0,3,35036,0.00034250485215207214
95,20011022 - 20011028,23,23,0,0,17,0,0,0,0,0,3,35036,0.0006564676332914717
96,20011029 - 20011104,14,18,0,0,3,1,0,0,0,0,3,35036,0.0003995889941774175
97,20011105 - 20011111,21,14,0,0,5,0,0,0,0,0,14,35036,0.0005993834912661263
98,20011112 - 20011118,14,11,0,0,1,0,0,0,0,0,7,35036,0.0003995889941774175
99,20011119 - 20011125,15,21,0,0,1,1,0,0,1,0,1,35036,0.0004281310651900902
100,20011126 - 20011202,16,21,0,0,3,0,0,0,0,0,2,35036,0.0004566731362027629
101,20011203 - 20011209,11,16,0,0,0,0,0,0,0,0,1,35036,0.00031396278113939946
102,20011210 - 20011216,14,15,0,0,0,1,0,0,0,0,3,35036,0.0003995889941774175
103,20011217 - 20011223,7,11,0,0,0,1,0,0,0,0,1,35036,0.00019979449708870876
104,20011224 - 20011230,15,19,0,0,1,0,0,0,0,0,4,35036,0.0004281310651900902
105,20011231 - 20020106,5,7,0,0,0,0,0,0,0,0,0,37630,0.00013287270794578793
106,20020107 - 20020113,26,22,0,0,2,0,0,0,0,0,12,38063,0.0006830780548038777
107,20020114 - 20020120,29,32,0,0,2,0,0,0,0,0,6,38063,0.0007618947534350944
108,20020121 - 20020127,14,16,0,0,0,0,0,0,0,0,1,38063,0.00036781126027901113
109,20020128 - 20020203,15,21,0,0,0,1,0,0,0,0,0,38063,0.00039408349315608334
110,20020204 - 20020210,11,13,0,0,0,1,0,0,0,0,3,38063,0.00028899456164779445
111,20020211 - 20020217,15,16,0,0,1,0,0,0,0,0,13,38063,0.00039408349315608334
112,20020218 - 20020224,13,16,0,0,0,1,0,0,0,0,5,38063,0.00034153902740193887
113,20020225 - 20020303,10,10,0,0,4,0,0,0,0,0,2,38063,0.00026272232877072224
114,20020304 - 20020310,20,21,0,0,6,0,0,0,0,0,4,38063,0.0005254446575414445
115,20020311 - 20020317,22,22,0,0,1,0,0,0,0,0,4,38063,0.0005779891232955889
116,20020318 - 20020324,34,34,0,0,14,0,0,0,0,0,6,38063,0.0008932559178204555
117,20020325 - 20020331,13,18,0,0,0,1,0,0,0,0,3,38063,0.00034153902740193887
118,20020401 - 20020407,24,26,0,0,4,1,0,0,0,0,13,39601,0.000606045301886316
119,20020408 - 20020414,28,38,0,0,2,1,0,0,0,0,11,39601,0.000707052852200702
120,20020415 - 20020421,17,10,0,0,1,0,0,0,0,0,7,39601,0.0004292820888361405
121,20020422 - 20020428,13,15,0,0,3,0,0,0,0,0,3,39601,0.0003282745385217545
122,20020429 - 20020505,6,5,0,0,2,0,0,0,0,0,2,39601,0.000151511325471579
123,20020506 - 20020512,14,15,0,0,1,0,0,0,0,0,4,39601,0.000353526426100351
124,20020513 - 20020519,14,17,0,0,0,0,0,0,0,0,3,39601,0.000353526426100351
125,20020520 - 20020526,16,19,0,0,0,0,0,0,0,0,4,39601,0.000404030201257544
126,20020527 - 20020602,18,20,0,0,2,1,0,0,0,0,7,39601,0.000454533976414737
127,20020603 - 20020609,12,13,0,0,0,1,0,0,0,0,4,39601,0.000303022650943158
